Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,PlayerID,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
22,Jimmy,Graham,SEA,TE,30.85,2015,TE1,30.85,,False,11488,96.5,8.8,11,0.0,0.0,0.0,0.0,48.0,74.0,605.0,64.9,2.0,8.2,12.6
23,Justin,Forsett,BAL,RB,31.56,2015,RB1,31.56,178.93,False,9369,106.9,10.7,10,151.0,641.0,4.2,2.0,31.0,41.0,153.0,75.6,0.0,3.7,4.9
24,Mike,Evans,TBB,WR,31.95,2015,WR1,31.95,82.23,False,16597,173.6,11.6,15,0.0,0.0,0.0,0.0,74.0,148.0,1206.0,50.0,3.0,8.1,16.3
25,Lamar,Miller,MIA,RB,32.82,2015,RB1,32.82,174.8,False,13791,208.4,13.0,16,194.0,872.0,4.5,8.0,47.0,57.0,397.0,82.5,2.0,7.0,8.4
26,Brandin,Cooks,NOS,WR,33.28,2015,WR1,33.28,125.8,False,16568,211.6,13.2,16,8.0,18.0,2.2,0.0,84.0,129.0,1138.0,65.1,9.0,8.8,13.5
27,DeAndre,Hopkins,HOU,WR,35.4,2015,WR1,35.4,170.88,False,14986,275.6,17.2,16,0.0,0.0,0.0,0.0,111.0,192.0,1521.0,57.8,11.0,7.9,13.7
28,Mark,Ingram,NOS,RB,35.65,2015,RB1,35.65,76.52,False,13337,178.4,14.9,12,166.0,769.0,4.6,6.0,50.0,60.0,405.0,83.3,0.0,6.8,8.1
29,Melvin,Gordon,SDC,RB,36.72,2015,RB1,36.72,140.25,False,16776,91.8,6.6,14,184.0,641.0,3.5,0.0,33.0,37.0,192.0,89.2,0.0,5.2,5.8
30,Emmanuel,Sanders,DEN,WR,37.27,2015,WR2,13.46,37.27,False,11063,186.4,12.4,15,3.0,29.0,9.7,0.0,76.0,137.0,1135.0,55.5,6.0,8.3,14.9
31,Frank,Gore,IND,RB,38.89,2015,RB1,38.89,194.0,False,5820,176.4,11.0,16,260.0,967.0,3.7,6.0,34.0,58.0,267.0,58.6,1.0,4.6,7.9
33,Carlos,Hyde,SFO,RB,43.27,2015,RB1,43.27,146.66,False,16668,75.8,10.8,7,115.0,470.0,4.1,3.0,11.0,15.0,53.0,73.3,0.0,3.5,4.8
34,Alfred,Morris,WAS,RB,43.28,2015,RB1,43.28,156.72,False,14269,91.6,5.7,16,202.0,751.0,3.7,1.0,10.0,13.0,55.0,76.9,0.0,4.2,5.5
35,Latavius,Murray,OAK,RB,44.47,2015,RB1,44.47,176.4,False,15071,184.3,11.5,16,266.0,1066.0,4.0,6.0,41.0,53.0,232.0,77.4,0.0,4.4,5.7
36,Amari,Cooper,OAK,WR,45.54,2015,WR1,45.54,154.88,False,16765,176.7,11.0,16,3.0,-3.0,-1.0,0.0,72.0,130.0,1070.0,55.4,6.0,8.2,14.9
37,Todd,Gurley,STL,RB,48.41,2015,RB1,48.41,107.57,True,16771,197.9,15.2,13,229.0,1106.0,4.8,10.0,21.0,26.0,188.0,80.8,0.0,7.2,9.0
38,Golden,Tate,DET,WR,50.9,2015,WR2,17.45,50.9,False,11611,164.4,10.3,16,6.0,41.0,6.8,0.0,90.0,128.0,813.0,70.3,6.0,6.4,9.0
40,Joseph,Randle,FA*,RB,50.91,2015,RB1,50.91,159.07,False,15085,69.1,11.5,6,76.0,315.0,4.1,4.0,10.0,10.0,86.0,100.0,0.0,8.6,8.6
39,Keenan,Allen,SDC,WR,50.91,2015,WR1,50.91,153.39,False,15076,128.0,16.0,8,0.0,0.0,0.0,0.0,67.0,89.0,725.0,75.3,4.0,8.1,10.8
41,Andre,Johnson,IND,WR,51.9,2015,WR2,24.76,51.9,False,2429,94.8,5.9,16,0.0,0.0,0.0,0.0,41.0,77.0,503.0,53.2,4.0,6.5,12.3
42,Julian,Edelman,NEP,WR,54.37,2015,WR1,54.37,128.27,False,8355,142.0,15.8,9,3.0,23.0,7.7,0.0,61.0,88.0,692.0,69.3,7.0,7.9,11.3
43,Greg,Olsen,CAR,TE,55.26,2015,TE1,55.26,,False,1658,188.9,11.8,16,0.0,0.0,0.0,0.0,77.0,124.0,1104.0,62.1,7.0,8.9,14.3
44,Ameer,Abdullah,DET,RB,56.13,2015,RB1,56.13,90.28,True,16815,104.5,6.5,16,143.0,597.0,4.2,2.0,25.0,38.0,183.0,65.8,1.0,4.8,7.3
45,Sammy,Watkins,BUF,WR,57.31,2015,WR1,57.31,154.46,False,16003,188.8,14.5,13,1.0,1.0,1.0,0.0,60.0,96.0,1047.0,62.5,9.0,10.9,17.4
46,Jonathan,Stewart,CAR,RB,59.31,2015,RB1,59.31,184.23,False,5451,154.8,11.9,13,242.0,989.0,4.1,6.0,16.0,21.0,99.0,76.2,1.0,4.7,6.2
47,Travis,Kelce,KCC,TE,59.7,2015,TE1,59.7,,False,15048,153.5,9.6,16,0.0,0.0,0.0,0.0,72.0,103.0,875.0,69.9,5.0,8.5,12.2
48,Jeremy,Maclin,KCC,WR,60.32,2015,WR1,60.32,247.38,False,8914,199.7,13.3,15,3.0,14.0,4.7,0.0,87.0,124.0,1088.0,70.2,8.0,8.8,12.5
49,Brandon,Marshall,NYJ,WR,60.65,2015,WR1,60.65,112.65,False,11667,284.7,17.8,16,0.0,0.0,0.0,0.0,109.0,173.0,1502.0,63.0,14.0,8.7,13.8
50,Andre,Ellington,ARI,RB,61.76,2015,RB1,61.76,142.99,False,15224,67.2,6.7,10,45.0,289.0,6.4,3.0,15.0,24.0,148.0,62.5,0.0,6.2,9.9
51,TJ,Yeldon,JAC,RB,63.38,2015,RB1,63.38,161.9,False,16797,137.9,11.5,12,182.0,740.0,4.1,2.0,36.0,46.0,279.0,78.3,1.0,6.1,7.8
52,DeSean,Jackson,WAS,WR,65.21,2015,WR1,65.21,139.99,False,3943,89.8,9.0,10,0.0,0.0,0.0,0.0,30.0,49.0,528.0,61.2,4.0,10.8,17.6
53,Doug,Martin,TBB,RB,65.77,2015,RB1,65.77,158.11,False,14385,215.8,13.5,16,288.0,1402.0,4.9,6.0,33.0,44.0,271.0,75.0,1.0,6.2,8.2
54,Jarvis,Landry,MIA,WR,65.82,2015,WR1,65.82,123.74,False,16020,214.36,13.4,16,18.0,113.0,6.3,1.0,110.0,166.0,1157.0,66.3,4.0,7.0,10.5
55,Davante,Adams,GBP,WR,66.63,2015,WR2,21.72,66.63,False,16470,81.3,6.3,13,0.0,0.0,0.0,0.0,50.0,94.0,483.0,53.2,1.0,5.1,9.7
56,Martavis,Bryant,PIT,WR,67.79,2015,WR2,6.75,67.79,False,16146,145.2,13.2,11,5.0,37.0,7.4,1.0,50.0,92.0,765.0,54.3,6.0,8.3,15.3
57,Arian,Foster,HOU,RB,69.74,2015,RB1,69.74,101.97,True,11792,66.0,16.5,4,63.0,163.0,2.6,1.0,22.0,28.0,227.0,78.6,2.0,8.1,10.3
58,LeGarrette,Blount,NEP,RB,73.99,2015,RB1,73.99,200.06,False,12296,119.6,10.0,12,165.0,703.0,4.3,6.0,6.0,7.0,43.0,85.7,1.0,6.1,7.2
59,Nelson,Agholor,PHI,WR,76.35,2015,WR2,40.36,76.35,True,16781,43.8,3.4,13,0.0,0.0,0.0,0.0,23.0,44.0,283.0,52.3,1.0,6.4,12.3
60,Chris,Ivory,NYJ,RB,76.4,2015,RB1,76.4,227.75,False,12239,187.7,12.5,15,247.0,1070.0,4.3,7.0,30.0,37.0,217.0,81.1,1.0,5.9,7.2
61,CJ,Spiller,NOS,RB,76.52,2015,RB2,35.65,76.52,False,10949,64.1,4.9,13,36.0,112.0,3.1,0.0,34.0,44.0,239.0,77.3,2.0,5.4,7.0
62,Martellus,Bennett,CHI,TE,78.72,2015,TE1,78.72,,False,1181,88.4,8.0,11,0.0,0.0,0.0,0.0,53.0,80.0,439.0,66.2,3.0,5.5,8.3
63,Allen,Robinson,JAC,WR,80.3,2015,WR1,80.3,163.03,False,16263,264.0,16.5,16,0.0,0.0,0.0,0.0,80.0,151.0,1400.0,53.0,14.0,9.3,17.5
64,Giovani,Bernard,CIN,RB,81.06,2015,RB2,20.46,81.06,False,14916,156.7,9.8,16,154.0,730.0,4.7,2.0,49.0,66.0,472.0,74.2,0.0,7.2,9.6
65,Vincent,Jackson,TBB,WR,82.23,2015,WR2,31.95,82.23,False,3519,90.8,9.1,10,0.0,0.0,0.0,0.0,33.0,62.0,543.0,53.2,3.0,8.8,16.5
66,Mike,Wallace,MIN,WR,85.29,2015,WR1,85.29,95.01,True,8529,79.4,5.0,16,1.0,6.0,6.0,0.0,39.0,72.0,473.0,54.2,2.0,6.6,12.1
67,Larry,Fitzgerald,ARI,WR,86.49,2015,WR1,86.49,103.28,True,5571,226.0,14.1,16,0.0,0.0,0.0,0.0,109.0,145.0,1215.0,75.2,9.0,8.4,11.1
68,Julius,Thomas,JAC,TE,86.86,2015,TE1,86.86,,False,13027,98.5,8.2,12,0.0,0.0,0.0,0.0,46.0,80.0,455.0,57.5,5.0,5.7,9.9
69,Jason,Witten,DAL,TE,87.56,2015,TE1,87.56,,False,722,125.8,7.9,16,0.0,0.0,0.0,0.0,77.0,104.0,713.0,74.0,3.0,6.9,9.3
70,Joique,Bell,DET,RB,90.28,2015,RB2,56.13,90.28,True,12323,94.7,7.3,13,90.0,311.0,3.5,4.0,22.0,27.0,286.0,81.5,0.0,10.6,13.0
71,Rashad,Jennings,NYG,RB,90.98,2015,RB1,90.98,113.86,False,8649,150.4,9.4,16,195.0,863.0,4.4,3.0,29.0,40.0,296.0,72.5,1.0,7.4,10.2
72,Tevin,Coleman,ATL,RB,92.46,2015,RB1,92.46,104.3,True,16834,41.6,3.5,12,87.0,392.0,4.5,1.0,2.0,11.0,14.0,18.2,0.0,1.3,7.0
75,Isaiah,Crowell,CLE,RB,95.13,2015,RB1,95.13,120.64,False,16127,128.3,8.0,16,185.0,706.0,3.8,4.0,19.0,22.0,182.0,86.4,1.0,8.3,9.6
76,Roddy,White,ATL,WR,98.92,2015,WR2,14.01,98.92,False,204,78.1,4.9,16,0.0,0.0,0.0,0.0,43.0,70.0,506.0,61.4,1.0,7.2,11.8
77,Jordan,Cameron,MIA,TE,99.12,2015,TE1,99.12,,False,12861,74.1,4.6,16,0.0,0.0,0.0,0.0,35.0,70.0,386.0,50.0,3.0,5.5,11.0
78,Alfred,Blue,HOU,RB,101.97,2015,RB2,69.74,101.97,True,16189,104.2,6.5,16,183.0,698.0,3.8,2.0,15.0,16.0,109.0,93.8,1.0,6.8,7.3
79,Steve,Smith,BAL,WR,103.24,2015,WR1,103.24,135.71,False,4358,108.0,15.4,7,0.0,0.0,0.0,0.0,46.0,73.0,670.0,63.0,3.0,9.2,14.6
80,John,Brown,ARI,WR,103.28,2015,WR2,86.49,103.28,True,16640,175.0,11.7,15,3.0,22.0,7.3,0.0,65.0,101.0,1003.0,64.4,7.0,9.9,15.4
81,Torrey,Smith,SFO,WR,104.08,2015,WR1,104.08,123.48,False,12830,108.8,6.8,16,0.0,0.0,0.0,0.0,33.0,62.0,663.0,53.2,4.0,10.7,20.1
82,Devonta,Freeman,ATL,RB,104.3,2015,RB2,92.46,104.3,True,16524,279.9,18.7,15,265.0,1056.0,4.0,11.0,73.0,97.0,578.0,75.3,3.0,6.0,7.9
83,Michael,Floyd,ARI,WR,106.86,2015,WR3,86.49,103.28,True,14478,146.9,9.8,15,0.0,0.0,0.0,0.0,52.0,89.0,849.0,58.4,6.0,9.5,16.3
84,Tre,Mason,STL,RB,107.57,2015,RB2,48.41,107.57,True,16626,42.5,3.3,13,75.0,207.0,2.8,1.0,18.0,21.0,88.0,85.7,0.0,4.2,4.9
85,Zach,Ertz,PHI,TE,107.95,2015,TE1,107.95,348.78,False,14856,132.8,8.9,15,0.0,0.0,0.0,0.0,75.0,112.0,853.0,67.0,2.0,7.6,11.4
86,Darren,McFadden,DAL,RB,108.6,2015,RB1,108.6,224.94,False,8066,175.7,11.0,16,239.0,1089.0,4.6,3.0,40.0,53.0,328.0,75.5,0.0,6.2,8.2
87,Ryan,Mathews,PHI,RB,109.68,2015,RB2,17.51,109.68,False,11256,114.5,8.8,13,106.0,539.0,5.1,6.0,20.0,29.0,146.0,69.0,1.0,5.0,7.3
88,Eric,Decker,NYJ,WR,112.65,2015,WR2,60.65,112.65,False,11182,212.7,14.2,15,0.0,0.0,0.0,0.0,80.0,132.0,1027.0,60.6,12.0,7.8,12.8
89,Shane,Vereen,NYG,RB,113.86,2015,RB2,90.98,113.86,False,12780,128.9,8.1,16,61.0,260.0,4.3,0.0,59.0,81.0,494.0,72.8,4.0,6.1,8.4
90,Tyler,Eifert,CIN,TE,114.05,2015,TE1,114.05,,False,14918,165.5,12.7,13,0.0,0.0,0.0,0.0,52.0,74.0,615.0,70.3,13.0,8.3,11.8
91,Bishop,Sankey,TEN,RB,115.47,2015,RB1,115.47,133.65,False,16178,50.2,3.9,13,47.0,193.0,4.1,1.0,14.0,22.0,139.0,63.6,1.0,6.3,9.9
92,Delanie,Walker,TEN,TE,115.89,2015,TE1,115.89,,False,7175,197.4,13.2,15,1.0,36.0,36.0,0.0,94.0,133.0,1088.0,70.7,6.0,8.2,11.6
93,Devin,Funchess,CAR,WR,118.09,2015,WR1,118.09,,False,16802,90.8,5.7,16,0.0,0.0,0.0,0.0,31.0,63.0,473.0,49.2,5.0,7.5,15.3
95,Duke,Johnson,CLE,RB,120.64,2015,RB2,95.13,120.64,False,16838,133.8,8.4,16,104.0,379.0,3.6,0.0,61.0,74.0,534.0,82.4,2.0,7.2,8.8
96,Antonio,Gates,SDC,TE,121.01,2015,TE1,121.01,176.62,False,7884,121.0,11.0,11,0.0,0.0,0.0,0.0,56.0,85.0,630.0,65.9,5.0,7.4,11.2
97,Owen,Daniels,DEN,TE,122.74,2015,TE1,122.74,143.63,False,1810,92.7,5.8,16,0.0,0.0,0.0,0.0,46.0,77.0,517.0,59.7,3.0,6.7,11.2
98,Anquan,Boldin,SFO,WR,123.48,2015,WR2,104.08,123.48,False,11712,135.4,9.7,14,0.0,0.0,0.0,0.0,69.0,111.0,789.0,62.2,4.0,7.1,11.4
99,DeVante,Parker,MIA,WR,123.74,2015,WR2,65.82,123.74,False,16775,84.4,5.6,15,0.0,0.0,0.0,0.0,27.0,51.0,529.0,52.9,3.0,10.4,19.6
100,Charcandrick,West,KCC,RB,125.15,2015,RB2,8.63,125.15,False,16307,122.8,8.2,15,160.0,634.0,4.0,4.0,20.0,34.0,214.0,58.8,1.0,6.3,10.7
101,Marques,Colston,NOS,WR,125.8,2015,WR2,33.28,125.8,False,5094,98.5,7.6,13,0.0,0.0,0.0,0.0,45.0,67.0,520.0,67.2,4.0,7.8,11.6
102,Brandon,LaFell,NEP,WR,128.27,2015,WR2,54.37,128.27,False,11463,70.9,6.4,11,2.0,9.0,4.5,0.0,37.0,74.0,515.0,50.0,0.0,7.0,13.9
103,Terrance,Williams,DAL,WR,131.11,2015,WR2,12.74,131.11,False,15088,128.0,8.0,16,0.0,0.0,0.0,0.0,52.0,93.0,840.0,55.9,3.0,9.0,16.2
104,Kendall,Wright,TEN,WR,131.65,2015,WR1,131.65,144.79,False,13957,78.5,7.8,10,5.0,17.0,3.4,0.0,36.0,60.0,408.0,60.0,3.0,6.8,11.3
105,Gary,Barnidge,CLE,TE,132.54,2015,TE1,132.54,,False,4577,197.8,12.4,16,0.0,0.0,0.0,0.0,79.0,125.0,1043.0,63.2,9.0,8.3,13.2
106,David,Cobb,TEN,RB,133.65,2015,RB2,115.47,133.65,False,16898,20.9,3.0,7,52.0,146.0,2.8,1.0,1.0,2.0,-2.0,50.0,0.0,-1.0,-2.0
107,Darren,Sproles,PHI,RB,134.32,2015,RB3,17.51,109.68,False,6198,122.0,7.6,16,83.0,317.0,3.8,3.0,55.0,83.0,388.0,66.3,1.0,4.7,7.1
109,Markus,Wheaton,PIT,WR,136.33,2015,WR3,6.75,67.79,False,14973,128.9,8.1,16,0.0,0.0,0.0,0.0,44.0,79.0,749.0,55.7,5.0,9.5,17.0
110,Josh,Hill,NOS,TE,138.51,2015,TE1,138.51,172.62,False,15866,32.0,2.0,16,0.0,0.0,0.0,0.0,16.0,30.0,120.0,53.3,2.0,4.0,7.5
111,Kyle,Rudolph,MIN,TE,139.2,2015,TE1,139.2,,False,13275,104.0,6.5,16,0.0,0.0,0.0,0.0,49.0,73.0,495.0,67.1,5.0,6.8,10.1
112,Pierre,Garcon,WAS,WR,139.99,2015,WR2,65.21,139.99,False,6767,149.7,9.4,16,0.0,0.0,0.0,0.0,72.0,111.0,777.0,64.9,6.0,7.0,10.8
113,Danny,Woodhead,SDC,RB,140.25,2015,RB2,36.72,140.25,False,12317,203.1,12.7,16,98.0,336.0,3.4,3.0,80.0,106.0,755.0,75.5,6.0,7.1,9.4
115,DeAngelo,Williams,PIT,RB,141.09,2015,RB2,5.62,141.09,False,7580,211.4,13.2,16,200.0,907.0,4.5,11.0,40.0,47.0,367.0,85.1,0.0,7.8,9.2
116,David,Johnson,ARI,RB,142.99,2015,RB2,61.76,142.99,False,16847,191.8,12.0,16,125.0,581.0,4.6,8.0,36.0,57.0,457.0,63.2,4.0,8.0,12.7
117,Vernon,Davis,DEN,TE,143.63,2015,TE2,122.74,143.63,False,5084,58.5,3.9,15,0.0,0.0,0.0,0.0,38.0,58.0,395.0,65.5,0.0,6.8,10.4
118,Dorial,GreenBeckham,TEN,WR,144.79,2015,WR2,131.65,144.79,False,16801,96.9,6.1,16,0.0,0.0,0.0,0.0,32.0,67.0,549.0,47.8,4.0,8.2,17.2
119,Tyler,Lockett,SEA,WR,145.04,2015,WR1,145.04,156.62,False,16830,127.9,8.0,16,5.0,20.0,4.0,0.0,51.0,69.0,664.0,73.9,6.0,9.6,13.0
120,Eddie,Royal,CHI,WR,146.51,2015,WR2,29.5,146.51,False,7389,48.2,5.4,9,1.0,-1.0,-1.0,0.0,37.0,50.0,238.0,74.0,1.0,4.8,6.4
123,Ronnie,Hillman,DEN,RB,151.04,2015,RB2,17.57,151.04,False,14046,149.4,9.3,16,207.0,863.0,4.2,7.0,24.0,35.0,111.0,68.6,0.0,3.2,4.6
124,James,Jones,GBP,WR,151.35,2015,WR3,21.72,66.63,False,6302,166.0,10.4,16,0.0,0.0,0.0,0.0,50.0,99.0,890.0,50.5,8.0,9.0,17.8
126,Steve,Johnson,SDC,WR,153.39,2015,WR2,50.91,153.39,False,2950,90.2,9.0,10,0.0,0.0,0.0,0.0,45.0,65.0,497.0,69.2,3.0,7.6,11.0
127,Austin,SeferianJenkins,TBB,TE,153.95,2015,TE1,153.95,,False,16608,68.3,9.8,7,0.0,0.0,0.0,0.0,21.0,39.0,338.0,53.8,4.0,8.7,16.1
128,Percy,Harvin,BUF,WR,154.46,2015,WR2,57.31,154.46,False,9079,40.4,8.1,5,5.0,31.0,6.2,0.0,19.0,30.0,218.0,63.3,1.0,7.3,11.5
129,Phillip,Dorsett,IND,WR,154.54,2015,WR3,24.76,51.9,False,16790,37.2,3.4,11,3.0,17.0,5.7,0.0,18.0,39.0,225.0,46.2,1.0,5.8,12.5
130,Coby,Fleener,IND,TE,154.66,2015,TE2,120.14,154.66,False,13997,96.1,6.0,16,0.0,0.0,0.0,0.0,54.0,84.0,491.0,64.3,3.0,5.8,9.1
131,Michael,Crabtree,OAK,WR,154.88,2015,WR2,45.54,154.88,False,9331,188.7,11.8,16,0.0,0.0,0.0,0.0,85.0,146.0,922.0,58.2,9.0,6.3,10.8
132,Andre,Williams,NYG,RB,155.45,2015,RB3,90.98,113.86,False,16402,34.9,2.2,16,88.0,257.0,2.9,1.0,1.0,3.0,7.0,33.3,0.0,2.3,7.0
133,Doug,Baldwin,SEA,WR,156.62,2015,WR2,145.04,156.62,False,13460,229.9,14.4,16,0.0,0.0,0.0,0.0,78.0,103.0,1069.0,75.7,14.0,10.4,13.7
134,Matt,Jones,WAS,RB,156.72,2015,RB2,43.28,156.72,False,16856,104.9,8.1,13,144.0,490.0,3.4,3.0,19.0,25.0,304.0,76.0,1.0,12.2,16.0
135,Ty,Montgomery,GBP,WR,157.5,2015,WR4,21.72,66.63,False,16855,34.5,5.8,6,3.0,14.0,4.7,0.0,15.0,19.0,136.0,78.9,2.0,7.2,9.1
136,Chris,Johnson,ARI,RB,157.79,2015,RB3,61.76,142.99,False,6828,104.2,9.5,11,196.0,814.0,4.2,3.0,6.0,13.0,58.0,46.2,0.0,4.5,9.7
137,Charles,Sims,TBB,RB,158.11,2015,RB2,65.77,158.11,False,16609,154.5,9.7,16,107.0,529.0,4.9,0.0,51.0,70.0,561.0,72.9,4.0,8.0,11.0
138,Kenny,Stills,MIA,WR,158.48,2015,WR3,65.82,123.74,False,15196,75.5,4.7,16,0.0,0.0,0.0,0.0,27.0,63.0,440.0,42.9,3.0,7.0,16.3
140,Charles,Clay,BUF,TE,159.58,2015,TE1,159.58,,False,12751,96.3,7.4,13,0.0,0.0,0.0,0.0,51.0,77.0,528.0,66.2,3.0,6.9,10.4
141,Donte,Moncrief,IND,WR,159.77,2015,WR4,24.76,51.9,False,16232,141.3,8.8,16,0.0,0.0,0.0,0.0,64.0,105.0,733.0,61.0,6.0,7.0,11.5
142,Eric,Ebron,DET,TE,160.79,2015,TE1,160.79,,False,16451,107.2,7.7,14,0.0,0.0,0.0,0.0,47.0,70.0,537.0,67.1,5.0,7.7,11.4
143,Richard,Rodgers,GBP,TE,161.23,2015,TE1,161.23,,False,16491,131.1,8.2,16,1.0,11.0,11.0,0.0,58.0,85.0,510.0,68.2,8.0,6.0,8.8
144,Jonas,Gray,JAC,RB,161.9,2015,RB2,63.38,161.9,False,15565,28.7,3.6,8,45.0,176.0,3.9,0.0,7.0,8.0,76.0,87.5,0.0,9.5,10.9
145,Allen,Hurns,JAC,WR,163.03,2015,WR2,80.3,163.03,False,16253,193.1,12.9,15,0.0,0.0,0.0,0.0,64.0,105.0,1031.0,61.0,10.0,9.8,16.1
146,Marvin,Jones,CIN,WR,166.25,2015,WR2,20.41,166.25,False,13870,141.4,8.8,16,5.0,33.0,6.6,0.0,65.0,103.0,816.0,63.1,4.0,7.9,12.6
148,Fred,Jackson,SEA,RB,167.44,2015,RB2,10.9,167.44,False,5701,61.7,3.9,16,26.0,100.0,3.8,0.0,32.0,41.0,257.0,78.0,2.0,6.3,8.0
149,Larry,Donnell,NYG,TE,168.12,2015,TE1,168.12,,False,15782,48.8,6.1,8,0.0,0.0,0.0,0.0,29.0,41.0,223.0,70.7,2.0,5.4,7.7
150,Heath,Miller,PIT,TE,168.74,2015,TE2,153.25,168.74,False,7635,97.7,6.5,15,1.0,2.0,2.0,0.0,60.0,81.0,535.0,74.1,2.0,6.6,8.9
152,Maxx,Williams,BAL,TE,169.69,2015,TE1,169.69,,False,16816,48.8,3.5,14,0.0,0.0,0.0,0.0,32.0,48.0,268.0,66.7,1.0,5.6,8.4
153,Jeremy,Langford,CHI,RB,169.79,2015,RB2,19.12,169.79,False,16867,136.6,8.5,16,148.0,537.0,3.6,6.0,22.0,42.0,279.0,52.4,1.0,6.6,12.7
154,James,Starks,GBP,RB,170.67,2015,RB2,6.92,170.67,False,12506,144.8,9.0,16,148.0,601.0,4.1,2.0,43.0,53.0,392.0,81.1,3.0,7.4,9.1
155,Jaelen,Strong,HOU,WR,170.88,2015,WR2,35.4,170.88,False,16831,41.1,4.1,10,0.0,0.0,0.0,0.0,14.0,24.0,161.0,58.3,3.0,6.7,11.5
157,Jordan,Reed,WAS,TE,172.72,2015,TE1,172.72,,False,15100,200.7,14.3,14,0.0,0.0,0.0,0.0,87.0,114.0,952.0,76.3,11.0,8.4,10.9
158,Brandon,Coleman,NOS,WR,174.69,2015,WR3,33.28,125.8,False,16567,72.4,4.5,16,0.0,0.0,0.0,0.0,30.0,49.0,454.0,61.2,2.0,9.3,15.1
159,Jay,Ajayi,MIA,RB,174.8,2015,RB2,32.82,174.8,False,16909,39.2,4.4,9,49.0,187.0,3.8,1.0,7.0,11.0,90.0,63.6,0.0,8.2,12.9
160,Denard,Robinson,JAC,RB,174.92,2015,RB3,63.38,161.9,False,15018,57.5,4.4,13,67.0,266.0,4.0,1.0,21.0,30.0,164.0,70.0,0.0,5.5,7.8
162,Rueben,Randle,NYG,WR,175.67,2015,WR3,8.39,94.58,False,14242,156.2,9.8,16,0.0,0.0,0.0,0.0,57.0,90.0,797.0,63.3,8.0,8.9,14.0
164,Ladarius,Green,SDC,TE,176.62,2015,TE2,121.01,176.62,False,14122,89.4,6.9,13,0.0,0.0,0.0,0.0,37.0,63.0,429.0,58.7,4.0,6.8,11.6
165,Tavon,Austin,STL,WR,177.53,2015,WR2,148.43,177.53,False,15215,166.7,10.4,16,52.0,434.0,8.3,4.0,52.0,87.0,473.0,59.8,5.0,5.4,9.1
166,Javorius,Allen,BAL,RB,178.93,2015,RB2,31.56,178.93,False,16886,123.2,7.7,16,137.0,514.0,3.8,1.0,45.0,62.0,353.0,72.6,2.0,5.7,7.8
167,Travis,Benjamin,CLE,WR,179.55,2015,WR1,179.55,192.08,False,13887,157.8,9.9,16,4.0,12.0,3.0,0.0,68.0,125.0,966.0,54.4,5.0,7.7,14.2
168,Malcom,Floyd,SDC,WR,181.03,2015,WR3,50.91,153.39,False,7711,87.1,5.8,15,0.0,0.0,0.0,0.0,30.0,69.0,561.0,43.5,3.0,8.1,18.7
169,Danny,Amendola,NEP,WR,181.27,2015,WR3,54.37,128.27,False,9906,115.84,8.3,14,2.0,11.0,5.5,0.0,65.0,87.0,648.0,74.7,3.0,7.4,10.0
170,Jerick,McKinnon,MIN,RB,181.75,2015,RB2,5.53,181.75,False,16510,72.9,4.6,16,52.0,271.0,5.2,2.0,21.0,29.0,173.0,72.4,1.0,6.0,8.2
171,Cameron,ArtisPayne,CAR,RB,184.23,2015,RB2,59.31,184.23,False,16934,32.6,4.7,7,45.0,183.0,4.1,1.0,5.0,5.0,58.0,100.0,0.0,11.6,11.6
172,Terrance,West,BAL,RB,184.24,2015,RB3,31.56,178.93,False,16142,23.2,2.9,8,62.0,231.0,3.7,0.0,4.0,5.0,21.0,80.0,0.0,4.2,5.2
173,Kenny,Britt,STL,WR,186.58,2015,WR3,148.43,177.53,False,8532,104.1,6.5,16,0.0,0.0,0.0,0.0,36.0,72.0,681.0,50.0,3.0,9.5,18.9
174,Kamar,Aiken,BAL,WR,191.77,2015,WR3,103.24,135.71,False,12722,159.9,10.0,16,0.0,0.0,0.0,0.0,75.0,127.0,944.0,59.1,5.0,7.4,12.6
176,Christine,Michael,SEA,RB,193.29,2015,RB3,10.9,167.44,False,15256,27.4,3.4,8,54.0,243.0,4.5,0.0,3.0,6.0,16.0,50.0,0.0,2.7,5.3
178,Jared,Cook,STL,TE,195.3,2015,TE1,195.3,,False,8534,67.6,4.2,16,0.0,0.0,0.0,0.0,39.0,75.0,481.0,52.0,0.0,6.4,12.3
179,Scott,Chandler,NEP,TE,196.33,2015,TE2,15.89,196.33,False,12548,61.4,4.1,15,0.0,0.0,0.0,0.0,23.0,42.0,259.0,54.8,4.0,6.2,11.3
180,Mohamed,Sanu,CIN,WR,196.44,2015,WR3,20.41,166.25,False,13878,75.0,4.7,16,10.0,71.0,7.1,2.0,33.0,49.0,394.0,67.3,0.0,8.0,11.9
181,Cecil,Shorts,HOU,WR,199.96,2015,WR3,35.4,170.88,False,13002,88.94,8.1,11,10.0,47.0,4.7,0.0,42.0,75.0,484.0,56.0,2.0,6.5,11.5
