Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,PlayerID,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
31,DeMarco,Murray,DAL,RB,36.73,2013,RB1,36.73,173.21,False,13124,231.6,16.5,14,217.0,1121.0,5.2,9.0,53.0,66.0,350.0,80.3,1.0,5.3,6.6
32,Vincent,Jackson,TBB,WR,40.02,2013,WR1,40.02,99.43,True,3519,203.4,12.7,16,1.0,0.0,0.0,0.0,78.0,160.0,1224.0,48.8,7.0,7.6,15.7
33,Wes,Welker,DEN,WR,42.75,2013,WR2,24.84,42.75,False,4631,172.3,13.3,13,0.0,0.0,0.0,0.0,73.0,111.0,778.0,65.8,10.0,7.0,10.7
34,Marques,Colston,NOS,WR,45.05,2013,WR1,45.05,105.62,True,5094,161.8,10.8,15,0.0,0.0,0.0,0.0,75.0,111.0,943.0,67.6,5.0,8.5,12.6
35,Darren,McFadden,OAK,RB,45.96,2013,RB1,45.96,191.57,False,8066,89.84,9.0,10,114.0,379.0,3.3,5.0,17.0,25.0,108.0,68.0,0.0,4.3,6.4
36,Darren,Sproles,NOS,RB,46.78,2013,RB1,46.78,97.24,True,6198,137.9,9.2,15,53.0,220.0,4.2,2.0,71.0,89.0,604.0,79.8,2.0,6.8,8.5
37,Dwayne,Bowe,KCC,WR,48.27,2013,WR1,48.27,200.97,False,7203,125.8,8.4,15,0.0,0.0,0.0,0.0,57.0,103.0,673.0,55.3,5.0,6.5,11.8
38,Eddie,Lacy,GBP,RB,49.06,2013,RB1,49.06,160.06,False,15138,225.0,15.0,15,284.0,1178.0,4.1,11.0,35.0,44.0,257.0,79.5,0.0,5.8,7.3
39,Rob,Gronkowski,NEP,TE,49.34,2013,TE1,49.34,,False,10974,102.7,14.7,7,0.0,0.0,0.0,0.0,39.0,66.0,592.0,59.1,4.0,9.0,15.2
40,Danny,Amendola,NEP,WR,49.89,2013,WR1,49.89,118.1,False,9906,102.4,8.5,12,1.0,1.0,1.0,0.0,54.0,83.0,633.0,65.1,2.0,7.6,11.7
41,Reggie,Wayne,IND,WR,50.59,2013,WR1,50.59,77.35,True,5002,83.8,12.0,7,1.0,5.0,5.0,0.0,38.0,58.0,503.0,65.5,2.0,8.7,13.2
42,Lamar,Miller,MIA,RB,52.37,2013,RB1,52.37,173.45,False,13791,110.9,6.9,16,177.0,709.0,4.0,2.0,26.0,35.0,170.0,74.3,0.0,4.9,6.5
43,Jordy,Nelson,GBP,WR,55.84,2013,WR2,33.23,55.84,False,4556,221.9,13.9,16,0.0,0.0,0.0,0.0,85.0,127.0,1314.0,66.9,8.0,10.3,15.5
44,Hakeem,Nicks,NYG,WR,57.44,2013,WR2,36.26,57.44,True,9739,117.6,7.8,15,0.0,0.0,0.0,0.0,56.0,101.0,896.0,55.4,0.0,8.9,16.0
45,Torrey,Smith,BAL,WR,57.86,2013,WR1,57.86,171.15,False,12830,171.3,10.7,16,0.0,0.0,0.0,0.0,65.0,137.0,1128.0,47.4,4.0,8.2,17.4
46,Jason,Witten,DAL,TE,59.96,2013,TE1,59.96,,False,722,169.6,10.6,16,0.0,0.0,0.0,0.0,73.0,111.0,851.0,65.8,8.0,7.7,11.7
47,Pierre,Garcon,WAS,WR,60.56,2013,WR1,60.56,177.03,False,6767,221.0,13.8,16,2.0,19.0,9.5,0.0,113.0,182.0,1346.0,62.1,5.0,7.4,11.9
48,Eric,Decker,DEN,WR,60.85,2013,WR3,24.84,42.75,False,11182,236.3,14.8,16,0.0,0.0,0.0,0.0,87.0,136.0,1288.0,64.0,11.0,9.5,14.8
49,Vernon,Davis,SFO,TE,60.92,2013,TE1,60.92,,False,5084,187.0,12.5,15,0.0,0.0,0.0,0.0,52.0,84.0,850.0,61.9,13.0,10.1,16.3
50,Montee,Ball,DEN,RB,62.24,2013,RB1,62.24,124.89,False,15036,98.6,6.2,16,120.0,561.0,4.7,4.0,20.0,27.0,145.0,74.1,0.0,5.4,7.2
51,Ryan,Mathews,SDC,RB,63.27,2013,RB1,63.27,140.72,False,11256,197.4,12.3,16,285.0,1255.0,4.4,6.0,26.0,33.0,189.0,78.8,1.0,5.7,7.3
52,Antonio,Brown,PIT,WR,64.37,2013,WR1,64.37,128.59,False,11056,253.9,15.9,16,7.0,4.0,0.6,0.0,110.0,166.0,1499.0,66.3,8.0,9.0,13.6
53,Mike,Wallace,MIA,WR,64.45,2013,WR1,64.45,153.83,False,8529,162.8,10.2,16,3.0,33.0,11.0,0.0,73.0,141.0,930.0,51.8,5.0,6.6,12.7
54,Tony,Gonzalez,ATL,TE,64.46,2013,TE1,64.46,,False,9108,177.4,11.1,16,0.0,0.0,0.0,0.0,83.0,121.0,859.0,68.6,8.0,7.1,10.3
55,DeSean,Jackson,PHI,WR,69.58,2013,WR1,69.58,191.66,False,3943,228.4,14.3,16,3.0,2.0,0.7,0.0,82.0,126.0,1332.0,65.1,9.0,10.6,16.2
56,Giovani,Bernard,CIN,RB,70.16,2013,RB1,70.16,89.44,True,14916,194.9,12.2,16,170.0,695.0,4.1,5.0,56.0,71.0,514.0,78.9,3.0,7.2,9.2
57,Steve,Smith,CAR,WR,70.81,2013,WR1,70.81,167.16,False,4358,130.5,8.7,15,0.0,0.0,0.0,0.0,64.0,110.0,745.0,58.2,4.0,6.8,11.6
58,James,Jones,GBP,WR,72.42,2013,WR3,33.23,55.84,False,6302,127.2,9.1,14,0.0,0.0,0.0,0.0,59.0,93.0,817.0,63.4,3.0,8.8,13.8
59,TY,Hilton,IND,WR,77.35,2013,WR2,50.59,77.35,True,14005,179.9,11.2,16,2.0,6.0,3.0,0.0,82.0,138.0,1083.0,59.4,5.0,7.8,13.2
60,Ahmad,Bradshaw,IND,RB,78.73,2013,RB2,10.2,78.73,False,2220,38.3,12.8,3,41.0,186.0,4.5,2.0,7.0,8.0,42.0,87.5,0.0,5.2,6.0
61,Daryl,Richardson,STL,RB,78.88,2013,RB1,78.88,152.65,False,14696,40.6,5.1,8,69.0,215.0,3.1,0.0,14.0,18.0,121.0,77.8,0.0,6.7,8.6
62,Chris,Ivory,NYJ,RB,80.59,2013,RB1,80.59,160.6,False,12239,103.3,6.9,15,182.0,833.0,4.6,3.0,2.0,7.0,10.0,28.6,0.0,1.4,5.0
63,LeVeon,Bell,PIT,RB,83.64,2013,RB1,83.64,152.33,False,14967,194.4,15.0,13,244.0,860.0,3.5,8.0,45.0,66.0,399.0,68.2,0.0,6.0,8.9
64,Tavon,Austin,STL,WR,84.22,2013,WR1,84.22,118.06,False,15215,104.9,8.1,13,9.0,151.0,16.8,1.0,40.0,69.0,418.0,58.0,4.0,6.1,10.4
65,Jermichael,Finley,GBP,TE,84.76,2013,TE1,84.76,,False,3671,60.5,10.1,6,0.0,0.0,0.0,0.0,25.0,34.0,300.0,73.5,3.0,8.8,12.0
66,Rashard,Mendenhall,ARI,RB,85.7,2013,RB1,85.7,178.98,False,3931,135.1,9.0,15,217.0,687.0,3.2,8.0,18.0,21.0,134.0,85.7,0.0,6.4,7.4
67,Greg,Jennings,MIN,WR,87.12,2013,WR1,87.12,144.59,False,6597,138.4,9.2,15,0.0,0.0,0.0,0.0,68.0,106.0,804.0,64.2,4.0,7.6,11.8
68,Miles,Austin,DAL,WR,88.37,2013,WR2,17.78,88.37,False,3330,36.4,3.3,11,0.0,0.0,0.0,0.0,24.0,49.0,244.0,49.0,0.0,5.0,10.2
69,Cecil,Shorts,JAC,WR,88.54,2013,WR1,88.54,123.17,False,13002,128.7,9.9,13,0.0,0.0,0.0,0.0,66.0,123.0,777.0,53.7,3.0,6.3,11.8
70,Anquan,Boldin,SFO,WR,88.73,2013,WR1,88.73,193.22,False,11712,203.5,12.7,16,2.0,11.0,5.5,0.0,85.0,129.0,1179.0,65.9,7.0,9.1,13.9
71,Steve,Johnson,BUF,WR,89.06,2013,WR1,89.06,181.69,False,2950,104.7,8.7,12,1.0,10.0,10.0,0.0,52.0,101.0,597.0,51.5,3.0,5.9,11.5
72,DeAngelo,Williams,CAR,RB,89.23,2013,RB1,89.23,135.03,False,7580,150.6,10.0,15,201.0,843.0,4.2,3.0,26.0,36.0,333.0,72.2,1.0,9.2,12.8
73,BenJarvus,GreenEllis,CIN,RB,89.44,2013,RB2,70.16,89.44,True,462,117.8,7.4,16,220.0,756.0,3.4,7.0,4.0,8.0,22.0,50.0,0.0,2.8,5.5
74,Kyle,Rudolph,MIN,TE,90.4,2013,TE1,90.4,,False,13275,64.3,8.0,8,0.0,0.0,0.0,0.0,30.0,46.0,313.0,65.2,3.0,6.8,10.4
75,Shane,Vereen,NEP,RB,91.13,2013,RB2,27.29,91.13,False,12780,111.0,13.9,8,44.0,208.0,4.7,1.0,47.0,69.0,427.0,68.1,3.0,6.2,9.1
76,Greg,Olsen,CAR,TE,95.57,2013,TE1,95.57,,False,1658,154.1,9.6,16,0.0,0.0,0.0,0.0,73.0,111.0,816.0,65.8,6.0,7.4,11.2
77,Mark,Ingram,NOS,RB,97.24,2013,RB2,46.78,97.24,True,13337,54.9,5.0,11,78.0,386.0,4.9,1.0,7.0,11.0,68.0,63.6,0.0,6.2,9.7
78,Mike,Williams,TBB,WR,99.43,2013,WR2,40.02,99.43,True,12412,44.6,7.4,6,0.0,0.0,0.0,0.0,22.0,40.0,216.0,55.0,2.0,5.4,9.8
79,Josh,Gordon,CLE,WR,100.39,2013,WR1,100.39,169.57,False,14587,270.9,19.4,14,5.0,88.0,17.6,0.0,87.0,159.0,1646.0,54.7,9.0,10.4,18.9
80,Ben,Tate,HOU,RB,100.71,2013,RB2,4.58,100.71,False,13557,128.1,9.2,14,181.0,771.0,4.3,4.0,34.0,49.0,140.0,69.4,0.0,2.9,4.1
81,Antonio,Gates,SDC,TE,104.04,2013,TE1,104.04,,False,7884,145.7,9.1,16,0.0,0.0,0.0,0.0,77.0,113.0,872.0,68.1,4.0,7.7,11.3
82,Owen,Daniels,HOU,TE,105.18,2013,TE1,105.18,,False,1810,55.2,11.0,5,0.0,0.0,0.0,0.0,24.0,41.0,252.0,58.5,3.0,6.1,10.5
83,Lance,Moore,NOS,WR,105.62,2013,WR2,45.05,105.62,True,6768,74.2,5.7,13,0.0,0.0,0.0,0.0,37.0,54.0,457.0,68.5,2.0,8.5,12.4
85,Jared,Cook,STL,TE,107.02,2013,TE1,107.02,,False,8534,120.6,7.5,16,0.0,0.0,0.0,0.0,51.0,85.0,671.0,60.0,5.0,7.9,13.2
86,Andre,Brown,NYG,RB,113.89,2013,RB2,36.24,113.89,False,12536,83.5,10.4,8,139.0,492.0,3.5,3.0,20.0,29.0,103.0,69.0,0.0,3.6,5.2
87,Golden,Tate,SEA,WR,115.49,2013,WR1,115.49,119.49,False,11611,154.9,9.7,16,3.0,31.0,10.3,0.0,64.0,99.0,898.0,64.6,5.0,9.1,14.0
88,Chris,Givens,STL,WR,118.06,2013,WR2,84.22,118.06,False,14405,72.7,4.5,16,3.0,8.0,2.7,0.0,34.0,83.0,569.0,41.0,0.0,6.9,16.7
89,Kenbrell,Thompkins,NEP,WR,118.1,2013,WR2,49.89,118.1,False,15417,86.6,7.2,12,0.0,0.0,0.0,0.0,32.0,69.0,466.0,46.4,4.0,6.8,14.6
