FirstName,LastName,DraftYear,DraftRnd,DraftPick,DraftTm,Pos,DraftAge,College/Univ
Sage,Rosenfels,2001,4,109,WAS,QB,23.0,Iowa St.
Milton,Wynn,2001,4,116,STL,WR,22.0,Washington St.
Correll,Buckhalter,2001,4,121,PHI,RB,22.0,Nebraska
Justin,McCareins,2001,4,124,TEN,WR,22.0,Northern Illinois
Jesse,Palmer,2001,4,125,NYG,QB,22.0,Florida
Cedric,James,2001,4,131,MIN,WR,22.0,TCU
Vinny,Sutherland,2001,5,136,ATL,WR,23.0,Purdue
Alex,Bannister,2001,5,140,SEA,WR,22.0,East. Kentucky
Scotty,Anderson,2001,5,148,DET,WR,21.0,Grambling St.
Mike,McMahon,2001,5,149,DET,QB,22.0,Rutgers
Derrick,Blaylock,2001,5,150,KAN,RB,22.0,S.F. Austin
Onomo,Ojo,2001,5,153,NOR,WR,,UC Davis
Darnerien,McCants,2001,5,154,WAS,WR,24.0,Delaware St.
AJ,Feeley,2001,5,155,PHI,QB,24.0,Oregon
Eddie,Berlin,2001,5,159,TEN,WR,23.0,Northern Iowa
Chris,Barnes,2001,5,161,BAL,RB,,New Mexico St.
Jonathan,Carter,2001,5,162,NYG,WR,22.0,Troy
Bobby,Newcombe,2001,6,166,ARI,WR,,Nebraska
Cedrick,Wilson,2001,6,169,SFO,WR,22.0,Tennessee
Josh,Booty,2001,6,172,SEA,QB,,LSU
Dee,Brown,2001,6,175,CAR,RB,23.0,Syracuse
Josh,Heupel,2001,6,177,MIA,QB,,Oklahoma
Kevin,Kasper,2001,6,190,DEN,WR,23.0,Iowa
Dan,Alexander,2001,6,192,TEN,RB,23.0,Nebraska
Francis,St Paul,2001,6,197,STL,WR,,Northern Arizona
TJ,Houshmandzadeh,2001,7,204,CIN,WR,23.0,Oregon St.
John,Capel,2001,7,208,CHI,WR,,Florida
Reggie,Germany,2001,7,214,BUF,WR,23.0,Ohio St.
Chris,Taylor,2001,7,218,PIT,WR,22.0,Texas A&M
KenYon,Rambo,2001,7,229,OAK,WR,22.0,Ohio St.
Richmond,Flowers,2001,7,235,JAX,WR,,Chattanooga
Quentin,McCord,2001,7,236,ATL,WR,23.0,Kentucky
Andre,King,2001,7,245,CLE,WR,27.0,Miami (FL)
David,Carr,2002,1,1,HOU,QB,23.0,Fresno St.
Joey,Harrington,2002,1,3,DET,QB,23.0,Oregon
Donte,Stallworth,2002,1,13,NOR,WR,21.0,Tennessee
William,Green,2002,1,16,CLE,RB,22.0,Boston Col.
TJ,Duckett,2002,1,18,ATL,RB,21.0,Michigan St.
Ashley,Lelie,2002,1,19,DEN,WR,22.0,Hawaii
Javon,Walker,2002,1,20,GNB,WR,23.0,Florida St.
Patrick,Ramsey,2002,1,32,WAS,QB,23.0,Tulane
Jabar,Gaffney,2002,2,33,HOU,WR,21.0,Florida
DeShaun,Foster,2002,2,34,CAR,RB,22.0,UCLA
Josh,Reed,2002,2,36,BUF,WR,22.0,LSU
Tim,Carter,2002,2,46,NYG,WR,22.0,Auburn
Andre,Davis,2002,2,47,CLE,WR,23.0,Virginia Tech
Reche,Caldwell,2002,2,48,SDG,WR,23.0,Florida
Clinton,Portis,2002,2,51,DEN,RB,21.0,Miami (FL)
Maurice,Morris,2002,2,54,SEA,RB,22.0,Oregon
Ladell,Betts,2002,2,56,WAS,RB,23.0,Iowa
Antwaan,Randle El,2002,2,62,PIT,WR,23.0,Indiana
Antonio,Bryant,2002,2,63,DAL,WR,21.0,Pittsburgh
Deion,Branch,2002,2,65,NWE,WR,23.0,Louisville
Josh,McCown,2002,3,81,ARI,QB,23.0,Sam Houston St.
Lamar,Gordon,2002,3,84,STL,RB,22.0,North Dakota St.
Marquis,Walker,2002,3,86,TAM,WR,,Michigan
Cliff,Russell,2002,3,87,WAS,WR,23.0,Utah
Brian,Westbrook,2002,3,91,PHI,RB,23.0,Villanova
Eric,Crouch,2002,3,95,STL,WR,,Nebraska
Jonathan,Wells,2002,4,99,HOU,RB,23.0,Ohio St.
David,Garrard,2002,4,108,JAX,QB,24.0,East Carolina
Rohan,Davey,2002,4,117,NWE,QB,24.0,LSU
Travis,Stephens,2002,4,119,TAM,RB,24.0,Tennessee
Ron,Johnson,2002,4,123,BAL,WR,22.0,Minnesota
Najeh,Davenport,2002,4,135,GNB,RB,23.0,Miami (FL)
Randy,Fasani,2002,5,137,CAR,QB,23.0,Stanford
Terry,Charles,2002,5,142,SDG,WR,,Portland St.
Herb,Haygood,2002,5,144,DEN,WR,24.0,Michigan St.
Kyle,Johnson,2002,5,145,CAR,RB,23.0,Syracuse
Jason,McAddley,2002,5,149,ARI,WR,23.0,Alabama
Jake,Schifino,2002,5,151,TEN,WR,22.0,Akron
Kurt,Kittner,2002,5,158,ATL,QB,22.0,Illinois
Freddie,Milons,2002,5,162,PHI,WR,,Alabama
Brandon,Doman,2002,5,163,SFO,QB,,BYU
Craig,Nall,2002,5,164,GNB,QB,23.0,LSU
Verron,Haynes,2002,5,166,PIT,RB,23.0,Georgia
Sam,Simmons,2002,5,170,MIA,WR,22.0,Northwestern
