FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Dwayne,Bowe,KAN,WR,48.27,2013,WR1,48.27,200.97,False,29,15,154.3,125.8,10.29,8.39,0,0,,0,103.0,6.87,57,673,11.81,5
Eddie,Lacy,GNB,RB,49.06,2013,RB1,49.06,160.06,False,23,15,242.5,225.0,16.17,15.0,284,1178,4.15,11,44.0,2.93,35,257,7.34,0
Rob,Gronkowski,NWE,TE,49.34,2013,TE1,49.34,,False,24,7,122.2,102.7,17.46,14.67,0,0,,0,66.0,9.43,39,592,15.18,4
Danny,Amendola,NWE,WR,49.89,2013,WR1,49.89,118.1,False,28,12,129.4,102.4,10.78,8.53,1,1,1.0,0,83.0,6.92,54,633,11.72,2
Reggie,Wayne,IND,WR,50.59,2013,WR1,50.59,77.35,True,35,7,102.8,83.8,14.69,11.97,1,5,5.0,0,58.0,8.29,38,503,13.24,2
Lamar,Miller,MIA,RB,52.37,2013,RB1,52.37,173.45,False,22,16,123.9,110.9,7.74,6.93,177,709,4.01,2,35.0,2.19,26,170,6.54,0
Jordy,Nelson,GNB,WR,55.84,2013,WR2,33.23,55.84,True,28,16,264.4,221.9,16.52,13.87,0,0,,0,127.0,7.94,85,1314,15.46,8
Hakeem,Nicks,NYG,WR,57.44,2013,WR2,36.26,57.44,True,25,15,145.6,117.6,9.71,7.84,0,0,,0,101.0,6.73,56,896,16.0,0
Torrey,Smith,BAL,WR,57.86,2013,WR1,57.86,171.15,False,24,16,203.8,171.3,12.74,10.71,0,0,,0,137.0,8.56,65,1128,17.35,4
Jason,Witten,DAL,TE,59.96,2013,TE1,59.96,,False,31,16,206.1,169.6,12.88,10.6,0,0,,0,111.0,6.94,73,851,11.66,8
Pierre,Garcon,WAS,WR,60.56,2013,WR1,60.56,177.03,False,27,16,277.5,221.0,17.34,13.81,2,19,9.5,0,181.0,11.31,113,1346,11.91,5
Eric,Decker,DEN,WR,60.85,2013,WR3,24.84,42.75,True,26,16,279.8,236.3,17.49,14.77,0,0,,0,136.0,8.5,87,1288,14.8,11
Vernon,Davis,SFO,TE,60.92,2013,TE1,60.92,,False,29,15,213.0,187.0,14.2,12.47,0,0,,0,84.0,5.6,52,850,16.35,13
Montee,Ball,DEN,RB,62.24,2013,RB1,62.24,124.89,False,23,16,108.4,98.4,6.78,6.15,120,559,4.66,4,27.0,1.69,20,145,7.25,0
