FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Andre,Roberts,ARI,WR,184.11,2013,WR3,29.91,127.07,False,25,16,102.1,80.6,6.38,5.04,0,0,,0,76.0,4.75,43,471,10.95,2
LeGarrette,Blount,NWE,RB,189.67,2013,RB3,27.29,91.13,True,27,16,121.0,120.0,7.56,7.5,153,772,5.05,7,5.0,0.31,2,38,19.0,0
Zach,Ertz,PHI,TE,190.63,2013,TE2,179.3,190.63,False,23,16,106.9,88.9,6.68,5.56,0,0,,0,57.0,3.56,36,469,13.03,4
Marcel,Reece,OAK,RB,191.57,2013,RB2,45.96,191.57,False,28,16,111.8,95.8,6.99,5.99,46,218,4.74,2,54.0,3.38,32,331,10.34,2
Riley,Cooper,PHI,WR,191.66,2013,WR2,69.58,191.66,False,26,16,184.3,160.8,11.52,10.05,0,18,,0,84.0,5.25,47,835,17.77,8
Quinton,Patton,SFO,WR,193.22,2013,WR2,88.73,193.22,False,23,6,9.0,7.5,1.5,1.25,1,26,26.0,0,5.0,0.83,3,34,11.33,0
Lance,Dunbar,DAL,RB,194.15,2013,RB3,36.73,173.21,False,23,9,25.9,22.4,2.88,2.49,30,150,5.0,0,7.0,0.78,7,59,8.43,0
Mike,Tolbert,CAR,RB,194.16,2013,RB3,89.23,135.03,False,28,16,123.5,110.0,7.72,6.88,101,361,3.57,5,33.0,2.06,27,184,6.81,2
Keenan,Allen,SDG,WR,195.67,2013,WR3,124.11,162.1,False,21,15,219.6,184.1,14.64,12.27,0,0,,0,105.0,7.0,71,1046,14.73,8
Rashad,Jennings,OAK,RB,195.94,2013,RB3,45.96,191.57,False,28,15,174.5,156.5,11.63,10.43,163,733,4.5,6,48.0,3.2,36,292,8.11,0
Nate,Washington,TEN,WR,196.73,2013,WR3,105.65,151.96,False,30,16,167.9,138.9,10.49,8.68,0,0,,0,105.0,6.56,58,919,15.84,3
Rod,Streater,OAK,WR,196.79,2013,WR2,136.48,196.79,False,25,16,172.5,142.5,10.78,8.91,2,17,8.5,0,100.0,6.25,60,888,14.8,4
Marcedes,Lewis,JAX,TE,197.7,2013,TE1,197.7,,False,29,11,82.9,70.4,7.54,6.4,0,0,,0,47.0,4.27,25,359,14.36,4
Stepfan,Taylor,ARI,RB,200.95,2013,RB3,85.7,178.98,False,22,16,26.6,22.6,1.66,1.41,36,115,3.19,0,9.0,0.56,8,71,8.88,0
Donnie,Avery,KAN,WR,200.97,2013,WR2,48.27,200.97,False,29,16,110.2,90.2,6.89,5.64,2,6,3.0,0,71.0,4.44,40,596,14.9,2
Nate,Burleson,DET,WR,202.15,2013,WR3,8.99,152.93,False,32,9,90.3,70.8,10.03,7.87,2,-8,-4.0,0,55.0,6.11,39,461,11.82,1
Stephen,Hill,NYJ,WR,203.34,2013,WR2,178.83,203.34,False,22,12,62.2,50.2,5.18,4.18,0,0,,0,59.0,4.92,24,342,14.25,1
Jacob,Tamme,DEN,TE,208.31,2013,TE2,160.66,208.31,False,28,16,44.4,34.4,2.78,2.15,0,0,,0,25.0,1.56,20,184,9.2,1
Justin,Hunter,TEN,WR,208.59,2013,WR4,105.65,151.96,False,22,14,77.4,68.4,5.53,4.89,0,0,,0,42.0,3.0,18,354,19.67,4
Brian,Quick,STL,WR,209.62,2013,WR3,84.22,118.06,False,24,16,60.2,51.2,3.76,3.2,0,0,,0,35.0,2.19,18,302,16.78,2
Dexter,McCluster,KAN,WR,214.86,2013,WR3,48.27,200.97,False,24,15,128.6,102.1,8.57,6.81,8,5,0.63,0,83.0,5.53,53,511,9.64,2
Jeremy,Kerley,NYJ,WR,217.76,2013,WR3,178.83,203.34,False,25,12,114.4,92.9,9.53,7.74,4,11,2.75,0,72.0,6.0,43,523,12.16,3
LeSean,McCoy,PHI,RB,2.44,2014,RB1,2.44,102.68,False,26,16,199.4,185.4,12.46,11.59,312,1319,4.23,5,37.0,2.31,28,155,5.54,0
Jamaal,Charles,KAN,RB,3.4,2014,RB1,3.4,157.55,False,28,15,250.4,230.4,16.69,15.36,206,1033,5.01,9,59.0,3.93,40,291,7.28,5
Calvin,Johnson,DET,WR,6.54,2014,WR1,6.54,91.86,False,29,13,226.7,191.2,17.44,14.71,0,0,,0,128.0,9.85,71,1077,15.17,8
Matt,Forte,CHI,RB,6.9,2014,RB1,6.9,191.44,False,29,16,346.6,295.6,21.66,18.48,266,1038,3.9,6,130.0,8.12,102,808,7.92,4
Eddie,Lacy,GNB,RB,8.46,2014,RB1,8.46,167.59,False,24,16,272.6,251.6,17.04,15.72,246,1139,4.63,9,55.0,3.44,42,427,10.17,4
Demaryius,Thomas,DEN,WR,10.46,2014,WR1,10.46,68.31,False,27,16,340.9,285.4,21.31,17.84,0,0,,0,184.0,11.5,111,1619,14.59,11
Jimmy,Graham,NOR,TE,11.44,2014,TE1,11.44,,False,28,16,229.9,187.4,14.37,11.71,0,0,,0,125.0,7.81,85,889,10.46,10
Marshawn,Lynch,SEA,RB,11.52,2014,RB1,11.52,144.18,False,28,16,302.3,283.8,18.89,17.74,280,1306,4.66,13,48.0,3.0,37,367,9.92,4
Dez,Bryant,DAL,WR,14.5,2014,WR1,14.5,97.56,False,26,16,316.0,272.0,19.75,17.0,0,0,,0,136.0,8.5,88,1320,15.0,16
AJ,Green,CIN,WR,15.02,2014,WR1,15.02,156.99,False,26,13,205.3,170.8,15.79,13.14,2,2,1.0,0,117.0,9.0,69,1041,15.09,6
Montee,Ball,DEN,RB,17.07,2014,RB1,17.07,172.39,False,24,5,36.4,31.9,7.28,6.38,55,172,3.13,1,13.0,2.6,9,62,6.89,0
Julio,Jones,ATL,WR,18.25,2014,WR1,18.25,50.41,False,25,15,297.4,245.4,19.83,16.36,1,1,1.0,0,163.0,10.87,104,1593,15.32,6
DeMarco,Murray,DAL,RB,18.28,2014,RB1,18.28,174.38,False,26,16,351.1,322.6,21.94,20.16,392,1845,4.71,13,64.0,4.0,57,416,7.3,0
Brandon,Marshall,CHI,WR,18.77,2014,WR1,18.77,26.74,False,30,13,179.1,148.6,13.78,11.43,0,0,,0,106.0,8.15,61,721,11.82,8
Giovani,Bernard,CIN,RB,22.51,2014,RB1,22.51,126.51,False,23,13,187.9,166.4,14.45,12.8,168,680,4.05,5,59.0,4.54,43,349,8.12,2
Jordy,Nelson,GNB,WR,23.48,2014,WR1,23.48,30.94,False,29,16,327.9,278.9,20.49,17.43,0,0,,0,151.0,9.44,98,1519,15.5,13
Arian,Foster,HOU,RB,24.23,2014,RB1,24.23,174.09,False,28,13,273.5,254.5,21.04,19.58,260,1246,4.79,8,59.0,4.54,38,327,8.61,5
Doug,Martin,TAM,RB,24.61,2014,RB1,24.61,,False,25,11,80.8,74.3,7.35,6.75,134,494,3.69,2,20.0,1.82,13,64,4.92,0
Alshon,Jeffery,CHI,WR,26.74,2014,WR2,18.77,26.74,False,24,16,261.6,219.1,16.35,13.69,6,33,5.5,0,145.0,9.06,85,1133,13.33,10
Antonio,Brown,PIT,WR,27.13,2014,WR1,27.13,142.67,False,26,16,386.9,322.4,24.18,20.15,4,13,3.25,0,181.0,11.31,129,1698,13.16,13
LeVeon,Bell,PIT,RB,28.49,2014,RB1,28.49,63.03,True,22,16,370.5,329.0,23.16,20.56,290,1361,4.69,8,105.0,6.56,83,854,10.29,3
Julius,Thomas,DEN,TE,29.46,2014,TE1,29.46,,False,26,13,163.9,142.4,12.61,10.95,0,0,,0,62.0,4.77,43,489,11.37,12
Alfred,Morris,WAS,RB,29.74,2014,RB1,29.74,182.87,False,26,16,187.9,179.4,11.74,11.21,265,1074,4.05,8,26.0,1.62,17,155,9.12,0
Randall,Cobb,GNB,WR,30.94,2014,WR2,23.48,30.94,False,24,16,293.4,247.9,18.34,15.49,11,37,3.36,0,127.0,7.94,91,1287,14.14,12
Rob,Gronkowski,NWE,TE,32.22,2014,TE1,32.22,164.96,False,25,15,266.4,225.4,17.76,15.03,0,0,,0,131.0,8.73,82,1124,13.71,12
Zac,Stacy,STL,RB,32.75,2014,RB1,32.75,161.96,False,23,13,64.5,55.5,4.96,4.27,76,293,3.86,1,23.0,1.77,18,152,8.44,0
Andre,Ellington,ARI,RB,35.51,2014,RB1,35.51,,False,25,12,177.5,154.5,14.79,12.88,201,660,3.28,3,64.0,5.33,46,395,8.59,2
Keenan,Allen,SDG,WR,37.16,2014,WR1,37.16,182.17,False,22,14,175.3,136.8,12.52,9.77,0,0,,0,121.0,8.64,77,783,10.17,4
Reggie,Bush,DET,RB,38.66,2014,RB1,38.66,72.81,True,29,11,107.0,87.0,9.73,7.91,76,297,3.91,2,56.0,5.09,40,253,6.33,0
Vincent,Jackson,TAM,WR,42.94,2014,WR1,42.94,107.11,True,31,16,180.2,145.2,11.26,9.07,0,0,,0,142.0,8.88,70,1002,14.31,2
Larry,Fitzgerald,ARI,WR,43.8,2014,WR1,43.8,60.01,True,31,14,151.4,119.9,10.81,8.56,0,0,,0,103.0,7.36,63,784,12.44,2
CJ,Spiller,BUF,RB,45.03,2014,RB1,45.03,108.23,False,27,9,71.5,62.0,7.94,6.89,78,300,3.85,0,22.0,2.44,19,125,6.58,1
Victor,Cruz,NYG,WR,45.16,2014,WR1,45.16,122.47,False,28,6,62.7,51.2,10.45,8.53,0,0,,0,41.0,6.83,23,337,14.65,1
Andre,Johnson,HOU,WR,45.48,2014,WR1,45.48,119.6,False,33,15,190.6,148.1,12.71,9.87,0,0,,0,146.0,9.73,85,936,11.01,3
Pierre,Garcon,WAS,WR,46.13,2014,WR1,46.13,55.5,True,28,16,161.2,127.2,10.07,7.95,0,0,,0,105.0,6.56,68,752,11.06,3
Cordarrelle,Patterson,MIN,WR,48.3,2014,WR1,48.3,147.87,False,23,16,93.1,76.6,5.82,4.79,10,117,11.7,1,67.0,4.19,33,384,11.64,1
Ryan,Mathews,SDG,RB,49.91,2014,RB1,49.91,118.05,False,27,6,66.9,62.4,11.15,10.4,74,330,4.46,3,10.0,1.67,9,69,7.67,0
Roddy,White,ATL,WR,50.41,2014,WR2,18.25,50.41,False,33,14,212.1,172.1,15.15,12.29,0,0,,0,125.0,8.93,80,921,11.51,7
Michael,Crabtree,SFO,WR,53.42,2014,WR1,53.42,119.28,False,27,16,162.2,128.2,10.14,8.01,1,4,4.0,0,108.0,6.75,68,698,10.26,4
Frank,Gore,SFO,RB,54.66,2014,RB1,54.66,109.17,False,31,16,158.7,153.2,9.92,9.57,255,1106,4.34,4,19.0,1.19,11,111,10.09,1
Vernon,Davis,SFO,TE,55.26,2014,TE1,55.26,,False,30,14,62.9,49.9,4.49,3.56,1,4,4.0,0,50.0,3.57,26,245,9.42,2
DeSean,Jackson,WAS,WR,55.5,2014,WR2,46.13,55.5,True,28,15,209.6,181.6,13.97,12.11,4,7,1.75,0,95.0,6.33,56,1169,20.88,6
Shane,Vereen,NWE,RB,55.9,2014,RB1,55.9,95.72,True,25,16,165.8,139.8,10.36,8.74,96,391,4.07,2,77.0,4.81,52,447,8.6,3
Toby,Gerhart,JAX,RB,55.98,2014,RB1,55.98,,False,27,14,81.2,71.2,5.8,5.09,101,326,3.23,2,24.0,1.71,20,186,9.3,0
Rashad,Jennings,NYG,RB,58.59,2014,RB1,58.59,138.86,False,29,11,138.5,123.5,12.59,11.23,167,639,3.83,4,41.0,3.73,30,226,7.53,0
Michael,Floyd,ARI,WR,60.01,2014,WR2,43.8,60.01,True,25,16,165.3,141.8,10.33,8.86,1,2,2.0,0,99.0,6.19,47,841,17.89,6
TY,Hilton,IND,WR,60.24,2014,WR1,60.24,92.38,True,25,15,258.5,217.5,17.23,14.5,2,20,10.0,0,131.0,8.73,82,1345,16.4,7
Chris,Johnson,NYJ,RB,63.37,2014,RB1,63.37,151.06,False,29,16,115.4,103.4,7.21,6.46,155,663,4.28,1,34.0,2.12,24,151,6.29,1
Jordan,Cameron,CLE,TE,63.47,2014,TE1,63.47,,False,26,10,78.4,66.4,7.84,6.64,0,0,,0,48.0,4.8,24,424,17.67,2
Bishop,Sankey,TEN,RB,67.0,2014,RB1,67.0,154.63,False,22,16,96.2,87.2,6.01,5.45,152,569,3.74,2,23.0,1.44,18,133,7.39,0
Wes,Welker,DEN,WR,68.31,2014,WR2,10.46,68.31,False,33,14,107.4,82.9,7.67,5.92,0,0,,0,64.0,4.57,49,464,9.47,2
Torrey,Smith,BAL,WR,68.35,2014,WR1,68.35,144.59,False,25,16,191.7,167.2,11.98,10.45,0,0,,0,92.0,5.75,49,767,15.65,11
Julian,Edelman,NWE,WR,69.06,2014,WR1,69.06,138.61,False,28,14,228.6,182.6,16.33,13.04,10,94,9.4,0,134.0,9.57,92,972,10.57,4
Emmanuel,Sanders,DEN,WR,69.64,2014,WR3,10.46,68.31,False,27,16,301.8,251.3,18.86,15.71,8,44,5.5,0,141.0,8.81,101,1404,13.9,9
Trent,Richardson,IND,RB,70.22,2014,RB1,70.22,161.32,False,24,15,117.8,104.3,7.85,6.95,159,519,3.26,3,34.0,2.27,27,229,8.48,0
Jeremy,Maclin,PHI,WR,70.98,2014,WR1,70.98,112.94,False,26,16,276.8,234.3,17.3,14.64,0,0,,0,143.0,8.94,85,1318,15.51,10
Jason,Witten,DAL,TE,71.02,2014,TE1,71.02,,False,32,16,164.3,132.3,10.27,8.27,0,0,,0,90.0,5.62,64,703,10.98,5
Joique,Bell,DET,RB,72.81,2014,RB2,38.66,72.81,True,28,15,198.2,181.2,13.21,12.08,223,860,3.86,7,53.0,3.53,34,322,9.47,1
Marques,Colston,NOR,WR,77.69,2014,WR1,77.69,92.3,True,31,16,177.2,147.7,11.08,9.23,0,0,,0,100.0,6.25,59,902,15.29,5
Mike,Wallace,MIA,WR,82.99,2014,WR1,82.99,161.57,False,28,16,212.8,179.3,13.3,11.21,4,16,4.0,0,115.0,7.19,67,862,12.87,10
Sammy,Watkins,BUF,WR,84.66,2014,WR1,84.66,186.73,False,21,16,198.0,165.5,12.38,10.34,2,8,4.0,0,128.0,8.0,65,982,15.11,6
Maurice,JonesDrew,OAK,RB,86.01,2014,RB1,86.01,131.69,False,29,12,27.7,22.2,2.31,1.85,43,96,2.23,0,16.0,1.33,11,71,6.45,0
Eric,Decker,NYJ,WR,87.21,2014,WR2,52.8,87.21,True,27,15,200.2,163.2,13.35,10.88,0,0,,0,115.0,7.67,74,962,13.0,5
Kyle,Rudolph,MIN,TE,88.24,2014,TE1,88.24,,False,25,9,59.1,47.1,6.57,5.23,0,0,,0,34.0,3.78,24,231,9.63,2
Jordan,Reed,WAS,TE,89.38,2014,TE1,89.38,,False,24,11,94.5,69.5,8.59,6.32,0,0,,0,65.0,5.91,50,465,9.3,0
Pierre,Thomas,NOR,RB,91.74,2014,RB1,91.74,122.26,False,30,11,123.0,100.5,11.18,9.14,45,222,4.93,2,55.0,5.0,45,378,8.4,1
Golden,Tate,DET,WR,91.86,2014,WR2,6.54,91.86,False,26,16,259.1,209.6,16.19,13.1,5,30,6.0,0,144.0,9.0,99,1331,13.44,4
Greg,Olsen,CAR,TE,92.19,2014,TE1,92.19,,False,29,16,220.8,178.8,13.8,11.18,0,0,,0,123.0,7.69,84,1008,12.0,6
Brandin,Cooks,NOR,WR,92.3,2014,WR2,77.69,92.3,True,21,10,139.3,112.8,13.93,11.28,7,73,10.43,1,69.0,6.9,53,550,10.38,3
Reggie,Wayne,IND,WR,92.38,2014,WR2,60.24,92.38,True,36,15,151.9,119.9,10.13,7.99,0,0,,0,116.0,7.73,64,779,12.17,2
Kendall,Wright,TEN,WR,92.44,2014,WR1,92.44,127.13,False,25,14,167.9,139.4,11.99,9.96,4,54,13.5,0,93.0,6.64,57,715,12.54,6
Knowshon,Moreno,MIA,RB,94.31,2014,RB1,94.31,99.36,True,27,3,22.6,22.1,7.53,7.37,31,148,4.77,1,1.0,0.33,1,8,8.0,0
Steven,Jackson,ATL,RB,95.05,2014,RB1,95.05,124.68,False,31,15,141.5,131.5,9.43,8.77,190,707,3.72,6,27.0,1.8,20,148,7.4,0
Stevan,Ridley,NWE,RB,95.72,2014,RB2,55.9,95.72,True,25,6,52.0,50.0,8.67,8.33,94,340,3.62,2,5.0,0.83,4,20,5.0,0
Terrance,Williams,DAL,WR,97.56,2014,WR2,14.5,97.56,False,25,16,147.1,128.6,9.19,8.04,0,0,,0,66.0,4.12,37,621,16.78,8
Dennis,Pitta,BAL,TE,99.13,2014,TE1,99.13,,False,29,3,28.5,20.5,9.5,6.83,0,0,,0,21.0,7.0,16,125,7.81,0
Lamar,Miller,MIA,RB,99.36,2014,RB2,94.31,99.36,True,23,16,223.4,204.4,13.96,12.78,216,1099,5.09,8,52.0,3.25,38,275,7.24,1
Darren,Sproles,PHI,RB,102.68,2014,RB2,2.44,102.68,False,31,15,157.6,137.6,10.51,9.17,57,329,5.77,6,62.0,4.13,40,387,9.68,0
Zach,Ertz,PHI,TE,103.44,2014,TE1,103.44,180.63,False,24,16,144.2,115.2,9.01,7.2,0,0,,0,89.0,5.56,58,702,12.1,3
Mike,Evans,TAM,WR,107.11,2014,WR2,42.94,107.11,True,21,15,245.1,211.1,16.34,14.07,0,0,,0,122.0,8.13,68,1051,15.46,12
Kelvin,Benjamin,CAR,WR,107.31,2014,WR1,107.31,187.95,False,23,16,225.8,189.3,14.11,11.83,0,0,,0,145.0,9.06,73,1008,13.81,9
Fred,Jackson,BUF,RB,108.23,2014,RB2,45.03,108.23,False,33,14,188.6,155.6,13.47,11.11,141,525,3.72,2,90.0,6.43,66,501,7.59,1
Carlos,Hyde,SFO,RB,109.17,2014,RB2,54.66,109.17,False,24,14,74.1,68.1,5.29,4.86,83,333,4.01,4,16.0,1.14,12,68,5.67,0
Riley,Cooper,PHI,WR,112.94,2014,WR2,70.98,112.94,False,27,16,128.7,101.2,8.04,6.32,0,0,,0,95.0,5.94,55,577,10.49,3
Dwayne,Bowe,KAN,WR,113.46,2014,WR1,113.46,,False,30,15,135.4,105.4,9.03,7.03,0,0,,0,95.0,6.33,60,754,12.57,0
Martellus,Bennett,CHI,TE,117.94,2014,TE1,117.94,,False,27,16,221.6,176.6,13.85,11.04,0,0,,0,128.0,8.0,90,916,10.18,6
Danny,Woodhead,SDG,RB,118.05,2014,RB2,49.91,118.05,False,29,3,12.2,9.7,4.07,3.23,15,38,2.53,0,6.0,2.0,5,34,6.8,0
Anquan,Boldin,SFO,WR,119.28,2014,WR2,53.42,119.28,False,34,16,219.6,178.1,13.72,11.13,1,4,4.0,0,130.0,8.12,83,1062,12.8,5
DeAndre,Hopkins,HOU,WR,119.6,2014,WR2,45.48,119.6,False,22,16,231.0,193.0,14.44,12.06,0,0,,0,127.0,7.94,76,1210,15.92,6
Bernard,Pierce,BAL,RB,120.38,2014,RB1,120.38,,False,23,13,49.9,48.9,3.84,3.76,93,366,3.94,2,6.0,0.46,2,13,6.5,0
Mark,Ingram,NOR,RB,122.26,2014,RB2,91.74,122.26,False,25,13,191.9,177.4,14.76,13.65,226,964,4.27,9,36.0,2.77,29,145,5.0,0
Rueben,Randle,NYG,WR,122.47,2014,WR2,45.16,122.47,False,23,16,182.8,147.3,11.42,9.21,0,0,,0,127.0,7.94,71,938,13.21,3
Devonta,Freeman,ATL,RB,124.68,2014,RB2,95.05,124.68,False,22,16,87.3,72.3,5.46,4.52,65,248,3.82,1,37.0,2.31,30,225,7.5,1
DeAngelo,Williams,CAR,RB,125.31,2014,RB1,125.31,154.9,False,31,6,29.3,26.8,4.88,4.47,62,219,3.53,0,6.0,1.0,5,44,8.8,0
Jeremy,Hill,CIN,RB,126.51,2014,RB2,22.51,126.51,False,22,16,210.9,197.4,13.18,12.34,222,1124,5.06,9,32.0,2.0,27,215,7.96,0
Tavon,Austin,STL,WR,126.61,2014,WR1,126.61,166.28,False,24,15,95.6,80.1,6.37,5.34,36,224,6.22,2,44.0,2.93,31,242,7.81,0
Justin,Hunter,TEN,WR,127.13,2014,WR2,92.44,127.13,False,23,12,95.8,81.8,7.98,6.82,0,0,,0,67.0,5.58,28,498,17.79,3
Cecil,Shorts,JAX,WR,130.59,2014,WR1,130.59,162.44,False,27,13,118.0,91.5,9.08,7.04,0,0,,0,110.0,8.46,53,557,10.51,1
Hakeem,Nicks,IND,WR,130.82,2014,WR3,60.24,92.38,True,26,16,102.5,83.5,6.41,5.22,0,0,,0,68.0,4.25,38,405,10.66,4
Darren,McFadden,OAK,RB,131.69,2014,RB2,86.01,131.69,False,27,16,120.6,102.6,7.54,6.41,155,534,3.45,2,56.0,3.5,36,212,5.89,0
Antonio,Gates,SDG,TE,134.76,2014,TE2,129.39,134.76,False,34,16,223.1,188.6,13.94,11.79,0,0,,0,98.0,6.12,69,821,11.9,12
Terrance,West,CLE,RB,136.35,2014,RB1,136.35,,False,23,14,112.7,107.2,8.05,7.66,171,673,3.94,4,13.0,0.93,11,64,5.82,1
Eric,Ebron,DET,TE,137.01,2014,TE1,137.01,,False,21,13,55.8,43.3,4.29,3.33,0,0,,0,47.0,3.62,25,248,9.92,1
Charles,Clay,MIA,TE,137.09,2014,TE1,137.09,,False,25,14,136.5,107.5,9.75,7.68,0,0,,0,84.0,6.0,58,605,10.43,3
Danny,Amendola,NWE,WR,138.61,2014,WR2,69.06,138.61,False,29,16,53.0,39.5,3.31,2.47,0,0,,0,42.0,2.62,27,200,7.41,1
Andre,Williams,NYG,RB,138.86,2014,RB2,58.59,138.86,False,22,16,145.1,136.1,9.07,8.51,217,721,3.32,7,37.0,2.31,18,130,7.22,0
Markus,Wheaton,PIT,WR,142.67,2014,WR2,27.13,142.67,False,23,16,131.3,104.8,8.21,6.55,4,19,4.75,0,86.0,5.38,53,644,12.15,2
Jordan,Matthews,PHI,WR,142.77,2014,WR3,70.98,112.94,False,22,16,202.2,168.7,12.64,10.54,0,0,,0,103.0,6.44,67,872,13.01,8
Heath,Miller,PIT,TE,143.56,2014,TE1,143.56,,False,32,16,160.1,127.1,10.01,7.94,0,0,,0,91.0,5.69,66,761,11.53,3
Christine,Michael,SEA,RB,144.18,2014,RB2,11.52,144.18,False,24,10,19.7,19.2,1.97,1.92,34,175,5.15,0,2.0,0.2,1,12,12.0,0
Kenny,Stills,NOR,WR,144.52,2014,WR3,77.69,92.3,True,22,15,173.9,142.4,11.59,9.49,1,-2,-2.0,0,83.0,5.53,63,931,14.78,3
Steve,Smith,BAL,WR,144.59,2014,WR2,68.35,144.59,False,35,16,219.5,180.0,13.72,11.25,0,0,,0,134.0,8.38,79,1065,13.48,6
Khiry,Robinson,NOR,RB,144.87,2014,RB3,91.74,122.26,False,25,10,64.5,60.5,6.45,6.05,76,362,4.76,3,11.0,1.1,8,63,7.88,0
Greg,Jennings,MIN,WR,147.87,2014,WR2,48.3,147.87,False,31,16,169.2,139.7,10.58,8.73,0,0,,0,92.0,5.75,59,742,12.58,6
Jarrett,Boykin,GNB,WR,151.01,2014,WR3,23.48,30.94,False,25,13,5.3,3.8,0.41,0.29,0,0,,0,12.0,0.92,3,23,7.67,0
Chris,Ivory,NYJ,RB,151.06,2014,RB2,63.37,151.06,False,26,16,152.4,143.4,9.52,8.96,198,821,4.15,6,27.0,1.69,18,123,6.83,1
Tyler,Eifert,CIN,TE,153.9,2014,TE1,153.9,,False,24,1,6.7,5.2,6.7,5.2,0,0,,0,3.0,3.0,3,37,12.33,0
Shonn,Greene,TEN,RB,154.63,2014,RB2,67.0,154.63,False,29,13,51.5,51.0,3.96,3.92,94,392,4.17,2,3.0,0.23,1,13,13.0,0
Jonathan,Stewart,CAR,RB,154.9,2014,RB2,125.31,154.9,False,27,13,146.0,133.5,11.23,10.27,175,809,4.62,3,31.0,2.38,25,181,7.24,1
James,Jones,OAK,WR,157.46,2014,WR1,157.46,184.38,False,30,16,173.6,137.1,10.85,8.57,0,0,,0,112.0,7.0,73,666,9.12,6
Knile,Davis,KAN,RB,157.55,2014,RB2,3.4,157.55,False,23,16,121.0,113.0,7.56,7.06,134,463,3.46,6,25.0,1.56,16,147,9.19,1
Dwayne,Allen,IND,TE,158.03,2014,TE1,158.03,163.83,False,24,13,116.5,102.0,8.96,7.85,0,0,,0,50.0,3.85,29,395,13.62,8
Aaron,Dobson,NWE,WR,159.77,2014,WR3,69.06,138.61,False,23,4,6.8,5.3,1.7,1.32,0,0,,0,5.0,1.25,3,38,12.67,0
Delanie,Walker,TEN,TE,161.13,2014,TE1,161.13,,False,30,15,176.0,144.5,11.73,9.63,0,0,,0,106.0,7.07,63,890,14.13,4
Ahmad,Bradshaw,IND,RB,161.32,2014,RB2,70.22,161.32,False,28,10,154.5,135.5,15.45,13.55,90,425,4.72,2,47.0,4.7,38,300,7.89,6
Travis,Kelce,KAN,TE,161.52,2014,TE1,161.52,,False,25,16,183.2,149.7,11.45,9.36,0,0,,0,87.0,5.44,67,862,12.87,5
Brian,Hartline,MIA,WR,161.57,2014,WR2,82.99,161.57,False,28,16,98.4,78.9,6.15,4.93,0,0,,0,63.0,3.94,39,474,12.15,2
Tre,Mason,STL,RB,161.96,2014,RB2,32.75,161.96,False,21,12,135.3,127.3,11.28,10.61,179,765,4.27,4,26.0,2.17,16,148,9.25,1
Marqise,Lee,JAX,WR,162.44,2014,WR2,130.59,162.44,False,23,13,86.1,67.6,6.62,5.2,3,9,3.0,0,69.0,5.31,37,422,11.41,1
Doug,Baldwin,SEA,WR,163.4,2014,WR1,163.4,,False,26,16,167.3,134.3,10.46,8.39,1,8,8.0,0,98.0,6.12,66,825,12.5,3
Coby,Fleener,IND,TE,163.83,2014,TE2,158.03,163.83,False,26,16,176.4,150.9,11.02,9.43,0,0,,0,92.0,5.75,51,774,15.18,8
Tim,Wright,NWE,TE,164.96,2014,TE2,32.22,164.96,False,24,16,87.7,74.7,5.48,4.67,1,-2,-2.0,0,33.0,2.06,26,259,9.96,6
Miles,Austin,CLE,WR,165.9,2014,WR1,165.9,180.03,False,30,12,115.8,92.3,9.65,7.69,0,0,,0,73.0,6.08,47,568,12.09,2
Kenny,Britt,STL,WR,166.28,2014,WR2,126.61,166.28,False,26,16,142.2,118.2,8.89,7.39,2,14,7.0,0,84.0,5.25,48,748,15.58,3
James,Starks,GNB,RB,167.59,2014,RB2,8.46,167.59,False,28,16,77.3,68.3,4.83,4.27,85,333,3.92,2,29.0,1.81,18,140,7.78,0
Ronnie,Hillman,DEN,RB,172.39,2014,RB2,17.07,172.39,False,23,8,102.3,91.8,12.79,11.48,106,434,4.09,3,34.0,4.25,21,139,6.62,1
Odell,Beckham,NYG,WR,172.92,2014,WR3,45.16,122.47,False,22,12,295.0,249.5,24.58,20.79,7,35,5.0,0,130.0,10.83,91,1305,14.34,12
James,White,NWE,RB,172.93,2014,RB4,55.9,95.72,True,22,3,11.1,8.6,3.7,2.87,9,38,4.22,0,5.0,1.67,5,23,4.6,0
Jonathan,Grimes,HOU,RB,174.09,2014,RB2,24.23,174.09,False,25,16,29.9,26.9,1.87,1.68,39,153,3.92,0,8.0,0.5,6,86,14.33,0
Lance,Dunbar,DAL,RB,174.38,2014,RB2,18.28,174.38,False,24,16,49.6,40.6,3.1,2.54,29,99,3.41,0,22.0,1.38,18,217,12.06,0
Cody,Latimer,DEN,WR,175.46,2014,WR4,10.46,68.31,False,22,8,4.3,3.3,0.54,0.41,0,0,,0,4.0,0.5,2,23,11.5,0
Donald,Brown,SDG,RB,176.49,2014,RB3,49.91,118.05,False,27,13,72.4,57.9,5.57,4.45,85,223,2.62,0,41.0,3.15,29,211,7.28,0
