FirstName,LastName,PlayerID,Position,Year,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
Doug,Baldwin,13460,WR,2015,229.9,14.4,16,0.0,0.0,0.0,0.0,78.0,103.0,1069.0,75.7,14.0,10.4,13.7
AJ,Green,12845,WR,2015,230.7,14.4,16,0.0,0.0,0.0,0.0,86.0,132.0,1297.0,65.2,10.0,9.8,15.1
Todd,Gurley,16771,RB,2015,197.9,15.2,13,229.0,1106.0,4.8,10.0,21.0,26.0,188.0,80.8,0.0,7.2,9.0
Lamar,Miller,13791,RB,2015,208.4,13.0,16,194.0,872.0,4.5,8.0,47.0,57.0,397.0,82.5,2.0,7.0,8.4
Rob,Gronkowski,10974,TE,2015,219.6,14.6,15,0.0,0.0,0.0,0.0,72.0,120.0,1176.0,60.0,11.0,9.8,16.3
David,Johnson,16847,RB,2015,191.8,12.0,16,125.0,581.0,4.6,8.0,36.0,57.0,457.0,63.2,4.0,8.0,12.7
Calvin,Johnson,6029,WR,2015,217.4,13.6,16,0.0,0.0,0.0,0.0,88.0,149.0,1214.0,59.1,9.0,8.1,13.8
Chris,Ivory,12239,RB,2015,187.7,12.5,15,247.0,1070.0,4.3,7.0,30.0,37.0,217.0,81.1,1.0,5.9,7.2
Eric,Decker,11182,WR,2015,212.7,14.2,15,0.0,0.0,0.0,0.0,80.0,132.0,1027.0,60.6,12.0,7.8,12.8
Larry,Fitzgerald,5571,WR,2015,226.0,14.1,16,0.0,0.0,0.0,0.0,109.0,145.0,1215.0,75.2,9.0,8.4,11.1
Matt,Forte,2699,RB,2015,192.7,14.8,13,218.0,898.0,4.1,4.0,44.0,58.0,389.0,75.9,3.0,6.7,8.8
Brandin,Cooks,16568,WR,2015,211.6,13.2,16,8.0,18.0,2.2,0.0,84.0,129.0,1138.0,65.1,9.0,8.8,13.5
Latavius,Murray,15071,RB,2015,184.3,11.5,16,266.0,1066.0,4.0,6.0,41.0,53.0,232.0,77.4,0.0,4.4,5.7
Danny,Woodhead,12317,RB,2015,203.1,12.7,16,98.0,336.0,3.4,3.0,80.0,106.0,755.0,75.5,6.0,7.1,9.4
Demaryius,Thomas,11197,WR,2015,214.9,13.4,16,0.0,0.0,0.0,0.0,105.0,177.0,1304.0,59.3,6.0,7.4,12.4
Allen,Hurns,16253,WR,2015,193.1,12.9,15,0.0,0.0,0.0,0.0,64.0,105.0,1031.0,61.0,10.0,9.8,16.1
Frank,Gore,5820,RB,2015,176.4,11.0,16,260.0,967.0,3.7,6.0,34.0,58.0,267.0,58.6,1.0,4.6,7.9
Jarvis,Landry,16020,WR,2015,214.36,13.4,16,18.0,113.0,6.3,1.0,110.0,166.0,1157.0,66.3,4.0,7.0,10.5
Sammy,Watkins,16003,WR,2015,188.8,14.5,13,1.0,1.0,1.0,0.0,60.0,96.0,1047.0,62.5,9.0,10.9,17.4
Gary,Barnidge,4577,TE,2015,197.8,12.4,16,0.0,0.0,0.0,0.0,79.0,125.0,1043.0,63.2,9.0,8.3,13.2
Jordan,Reed,15100,TE,2015,200.7,14.3,14,0.0,0.0,0.0,0.0,87.0,114.0,952.0,76.3,11.0,8.4,10.9
Jeremy,Maclin,8914,WR,2015,199.7,13.3,15,3.0,14.0,4.7,0.0,87.0,124.0,1088.0,70.2,8.0,8.8,12.5
Darren,McFadden,8066,RB,2015,175.7,11.0,16,239.0,1089.0,4.6,3.0,40.0,53.0,328.0,75.5,0.0,6.2,8.2
Jeremy,Hill,16112,RB,2015,162.8,10.2,16,223.0,794.0,3.6,11.0,15.0,19.0,79.0,78.9,1.0,4.2,5.3
Mark,Ingram,13337,RB,2015,178.4,14.9,12,166.0,769.0,4.6,6.0,50.0,60.0,405.0,83.3,0.0,6.8,8.1
Greg,Olsen,1658,TE,2015,188.9,11.8,16,0.0,0.0,0.0,0.0,77.0,124.0,1104.0,62.1,7.0,8.9,14.3
Delanie,Walker,7175,TE,2015,197.4,13.2,15,1.0,36.0,36.0,0.0,94.0,133.0,1088.0,70.7,6.0,8.2,11.6
Emmanuel,Sanders,11063,WR,2015,186.4,12.4,15,3.0,29.0,9.7,0.0,76.0,137.0,1135.0,55.5,6.0,8.3,14.9
Jonathan,Stewart,5451,RB,2015,154.8,11.9,13,242.0,989.0,4.1,6.0,16.0,21.0,99.0,76.2,1.0,4.7,6.2
LeSean,McCoy,11932,RB,2015,162.7,13.6,12,203.0,895.0,4.4,3.0,32.0,50.0,292.0,64.0,2.0,5.8,9.1
Michael,Crabtree,9331,WR,2015,188.7,11.8,16,0.0,0.0,0.0,0.0,85.0,146.0,922.0,58.2,9.0,6.3,10.8
Jordan,Matthews,15974,TE,2015,188.2,11.8,16,0.0,0.0,0.0,0.0,85.0,128.0,997.0,66.4,8.0,7.8,11.7
John,Brown,16640,WR,2015,175.0,11.7,15,3.0,22.0,7.3,0.0,65.0,101.0,1003.0,64.4,7.0,9.9,15.4
TY,Hilton,14005,WR,2015,176.9,11.1,16,0.0,0.0,0.0,0.0,69.0,134.0,1124.0,51.5,5.0,8.4,16.3
James,Jones,6302,WR,2015,166.0,10.4,16,0.0,0.0,0.0,0.0,50.0,99.0,890.0,50.5,8.0,9.0,17.8
Tavon,Austin,15215,WR,2015,166.7,10.4,16,52.0,434.0,8.3,4.0,52.0,87.0,473.0,59.8,5.0,5.4,9.1
Amari,Cooper,16765,WR,2015,176.7,11.0,16,3.0,-3.0,-1.0,0.0,72.0,130.0,1070.0,55.4,6.0,8.2,14.9
DeMarco,Murray,13124,RB,2015,162.4,10.8,15,193.0,702.0,3.6,6.0,44.0,55.0,322.0,80.0,1.0,5.9,7.3
Ted,Ginn,12109,WR,2015,161.9,10.8,15,4.0,60.0,15.0,0.0,44.0,96.0,739.0,45.8,10.0,7.7,16.8
Tyler,Eifert,14918,TE,2015,165.5,12.7,13,0.0,0.0,0.0,0.0,52.0,74.0,615.0,70.3,13.0,8.3,11.8
Ronnie,Hillman,14046,RB,2015,149.4,9.3,16,207.0,863.0,4.2,7.0,24.0,35.0,111.0,68.6,0.0,3.2,4.6
Mike,Evans,16597,WR,2015,173.6,11.6,15,0.0,0.0,0.0,0.0,74.0,148.0,1206.0,50.0,3.0,8.1,16.3
Rashad,Jennings,8649,RB,2015,150.4,9.4,16,195.0,863.0,4.4,3.0,29.0,40.0,296.0,72.5,1.0,7.4,10.2
Giovani,Bernard,14916,RB,2015,156.7,9.8,16,154.0,730.0,4.7,2.0,49.0,66.0,472.0,74.2,0.0,7.2,9.6
Randall,Cobb,13227,WR,2015,169.4,10.6,16,13.0,50.0,3.8,1.0,79.0,129.0,829.0,61.2,6.0,6.4,10.5
Charles,Sims,16609,RB,2015,154.5,9.7,16,107.0,529.0,4.9,0.0,51.0,70.0,561.0,72.9,4.0,8.0,11.0
Rueben,Randle,14242,WR,2015,156.2,9.8,16,0.0,0.0,0.0,0.0,57.0,90.0,797.0,63.3,8.0,8.9,14.0
Jeremy,Langford,16867,RB,2015,136.6,8.5,16,148.0,537.0,3.6,6.0,22.0,42.0,279.0,52.4,1.0,6.6,12.7
Travis,Benjamin,13887,WR,2015,157.8,9.9,16,4.0,12.0,3.0,0.0,68.0,125.0,966.0,54.4,5.0,7.7,14.2
James,Starks,12506,RB,2015,144.8,9.0,16,148.0,601.0,4.1,2.0,43.0,53.0,392.0,81.1,3.0,7.4,9.1
Kamar,Aiken,12722,WR,2015,159.9,10.0,16,0.0,0.0,0.0,0.0,75.0,127.0,944.0,59.1,5.0,7.4,12.6
Michael,Floyd,14478,WR,2015,146.9,9.8,15,0.0,0.0,0.0,0.0,52.0,89.0,849.0,58.4,6.0,9.5,16.3
Eddie,Lacy,15138,RB,2015,130.6,8.7,15,187.0,758.0,4.1,3.0,20.0,28.0,188.0,71.4,2.0,6.7,9.4
Martavis,Bryant,16146,WR,2015,145.2,13.2,11,5.0,37.0,7.4,1.0,50.0,92.0,765.0,54.3,6.0,8.3,15.3
TJ,Yeldon,16797,RB,2015,137.9,11.5,12,182.0,740.0,4.1,2.0,36.0,46.0,279.0,78.3,1.0,6.1,7.8
Golden,Tate,11611,WR,2015,164.4,10.3,16,6.0,41.0,6.8,0.0,90.0,128.0,813.0,70.3,6.0,6.4,9.0
Isaiah,Crowell,16127,RB,2015,128.3,8.0,16,185.0,706.0,3.8,4.0,19.0,22.0,182.0,86.4,1.0,8.3,9.6
Thomas,Rawls,17050,RB,2015,123.1,9.5,13,147.0,830.0,5.6,4.0,9.0,11.0,76.0,81.8,1.0,6.9,8.4
Travis,Kelce,15048,TE,2015,153.5,9.6,16,0.0,0.0,0.0,0.0,72.0,103.0,875.0,69.9,5.0,8.5,12.2
LeGarrette,Blount,12296,RB,2015,119.6,10.0,12,165.0,703.0,4.3,6.0,6.0,7.0,43.0,85.7,1.0,6.1,7.2
Benjamin,Watson,11756,TE,2015,153.5,9.6,16,0.0,0.0,0.0,0.0,74.0,110.0,825.0,67.3,6.0,7.5,11.1
CJ,Anderson,15020,RB,2015,128.8,8.6,15,152.0,720.0,4.7,5.0,25.0,36.0,183.0,69.4,0.0,5.1,7.3
Willie,Snead,16141,WR,2015,148.9,9.9,15,0.0,0.0,0.0,0.0,69.0,101.0,984.0,68.3,3.0,9.7,14.3
Pierre,Garcon,6767,WR,2015,149.7,9.4,16,0.0,0.0,0.0,0.0,72.0,111.0,777.0,64.9,6.0,7.0,10.8
Karlos,Williams,16915,RB,2015,118.8,10.8,11,93.0,517.0,5.6,7.0,11.0,14.0,96.0,78.6,2.0,6.9,8.7
Charcandrick,West,16307,RB,2015,122.8,8.2,15,160.0,634.0,4.0,4.0,20.0,34.0,214.0,58.8,1.0,6.3,10.7
Julian,Edelman,8355,WR,2015,142.0,15.8,9,3.0,23.0,7.7,0.0,61.0,88.0,692.0,69.3,7.0,7.9,11.3
Donte,Moncrief,16232,WR,2015,141.3,8.8,16,0.0,0.0,0.0,0.0,64.0,105.0,733.0,61.0,6.0,7.0,11.5
Marvin,Jones,13870,WR,2015,141.4,8.8,16,5.0,33.0,6.6,0.0,65.0,103.0,816.0,63.1,4.0,7.9,12.6
Markus,Wheaton,14973,WR,2015,128.9,8.1,16,0.0,0.0,0.0,0.0,44.0,79.0,749.0,55.7,5.0,9.5,17.0
Alshon,Jeffery,14187,WR,2015,131.7,14.6,9,0.0,0.0,0.0,0.0,54.0,94.0,807.0,57.4,4.0,8.6,14.9
Ryan,Mathews,11256,RB,2015,114.5,8.8,13,106.0,539.0,5.1,6.0,20.0,29.0,146.0,69.0,1.0,5.0,7.3
Duke,Johnson,16838,RB,2015,133.8,8.4,16,104.0,379.0,3.6,0.0,61.0,74.0,534.0,82.4,2.0,7.2,8.8
Tyler,Lockett,16830,WR,2015,127.9,8.0,16,5.0,20.0,4.0,0.0,51.0,69.0,664.0,73.9,6.0,9.6,13.0
Richard,Rodgers,16491,TE,2015,131.1,8.2,16,1.0,11.0,11.0,0.0,58.0,85.0,510.0,68.2,8.0,6.0,8.8
Terrance,Williams,15088,WR,2015,128.0,8.0,16,0.0,0.0,0.0,0.0,52.0,93.0,840.0,55.9,3.0,9.0,16.2
Chris,Johnson,6828,RB,2015,104.2,9.5,11,196.0,814.0,4.2,3.0,6.0,13.0,58.0,46.2,0.0,4.5,9.7
Anquan,Boldin,11712,WR,2015,135.4,9.7,14,0.0,0.0,0.0,0.0,69.0,111.0,789.0,62.2,4.0,7.1,11.4
Javorius,Allen,16886,RB,2015,123.2,7.7,16,137.0,514.0,3.8,1.0,45.0,62.0,353.0,72.6,2.0,5.7,7.8
Shane,Vereen,12780,RB,2015,128.9,8.1,16,61.0,260.0,4.3,0.0,59.0,81.0,494.0,72.8,4.0,6.1,8.4
Theo,Riddick,15126,RB,2015,139.0,8.7,16,43.0,133.0,3.1,0.0,80.0,99.0,697.0,80.8,3.0,7.0,8.7
Jermaine,Kearse,14749,WR,2015,123.0,7.7,16,0.0,0.0,0.0,0.0,49.0,68.0,685.0,72.1,5.0,10.1,14.0
Stefon,Diggs,16906,WR,2015,123.3,9.5,13,3.0,13.0,4.3,0.0,52.0,84.0,720.0,61.9,4.0,8.6,13.8
Alfred,Blue,16189,RB,2015,104.2,6.5,16,183.0,698.0,3.8,2.0,15.0,16.0,109.0,93.8,1.0,6.8,7.3
Matt,Jones,16856,RB,2015,104.9,8.1,13,144.0,490.0,3.4,3.0,19.0,25.0,304.0,76.0,1.0,12.2,16.0
Zach,Ertz,14856,TE,2015,132.8,8.9,15,0.0,0.0,0.0,0.0,75.0,112.0,853.0,67.0,2.0,7.6,11.4
Darren,Sproles,6198,RB,2015,122.0,7.6,16,83.0,317.0,3.8,3.0,55.0,83.0,388.0,66.3,1.0,4.7,7.1
Keenan,Allen,15076,WR,2015,128.0,16.0,8,0.0,0.0,0.0,0.0,67.0,89.0,725.0,75.3,4.0,8.1,10.8
Antonio,Gates,7884,TE,2015,121.0,11.0,11,0.0,0.0,0.0,0.0,56.0,85.0,630.0,65.9,5.0,7.4,11.2
Torrey,Smith,12830,WR,2015,108.8,6.8,16,0.0,0.0,0.0,0.0,33.0,62.0,663.0,53.2,4.0,10.7,20.1
Ameer,Abdullah,16815,RB,2015,104.5,6.5,16,143.0,597.0,4.2,2.0,25.0,38.0,183.0,65.8,1.0,4.8,7.3
Justin,Forsett,9369,RB,2015,106.9,10.7,10,151.0,641.0,4.2,2.0,31.0,41.0,153.0,75.6,0.0,3.7,4.9
Antonio,Andrews,16163,RB,2015,101.54,7.3,14,143.0,520.0,3.6,3.0,21.0,29.0,174.0,72.4,0.0,6.0,8.3
Rishard,Matthews,13788,WR,2015,112.1,10.2,11,1.0,4.0,4.0,0.0,43.0,61.0,662.0,70.5,4.0,10.9,15.4
Nate,Washington,8564,WR,2015,113.3,8.1,14,0.0,0.0,0.0,0.0,47.0,94.0,658.0,50.0,4.0,7.0,14.0
Bilal,Powell,12800,RB,2015,111.6,10.1,11,70.0,313.0,4.5,1.0,47.0,63.0,388.0,74.6,2.0,6.2,8.3
Jason,Witten,722,TE,2015,125.8,7.9,16,0.0,0.0,0.0,0.0,77.0,104.0,713.0,74.0,3.0,6.9,9.3
LeVeon,Bell,14967,RB,2015,99.2,16.5,6,113.0,556.0,4.9,3.0,24.0,26.0,136.0,92.3,0.0,5.2,5.7
Alfred,Morris,14269,RB,2015,91.6,5.7,16,202.0,751.0,3.7,1.0,10.0,13.0,55.0,76.9,0.0,4.2,5.5
Kenny,Britt,8532,WR,2015,104.1,6.5,16,0.0,0.0,0.0,0.0,36.0,72.0,681.0,50.0,3.0,9.5,18.9
Steve,Smith,4358,WR,2015,108.0,15.4,7,0.0,0.0,0.0,0.0,46.0,73.0,670.0,63.0,3.0,9.2,14.6
Dion,Lewis,12708,RB,2015,102.2,14.6,7,49.0,234.0,4.8,2.0,36.0,50.0,388.0,72.0,2.0,7.8,10.8
Eric,Ebron,16451,TE,2015,107.2,7.7,14,0.0,0.0,0.0,0.0,47.0,70.0,537.0,67.1,5.0,7.7,11.4
Joique,Bell,12323,RB,2015,94.7,7.3,13,90.0,311.0,3.5,4.0,22.0,27.0,286.0,81.5,0.0,10.6,13.0
Danny,Amendola,9906,WR,2015,115.84,8.3,14,2.0,11.0,5.5,0.0,65.0,87.0,648.0,74.7,3.0,7.4,10.0
James,White,16056,RB,2015,102.6,7.3,14,22.0,56.0,2.5,2.0,40.0,54.0,410.0,74.1,4.0,7.6,10.2
Dorial,GreenBeckham,16801,WR,2015,96.9,6.1,16,0.0,0.0,0.0,0.0,32.0,67.0,549.0,47.8,4.0,8.2,17.2
Jamaal,Charles,7969,RB,2015,90.6,18.1,5,71.0,364.0,5.1,4.0,21.0,30.0,177.0,70.0,1.0,5.9,8.4
Seth,Roberts,16326,WR,2015,96.0,6.0,16,0.0,0.0,0.0,0.0,32.0,55.0,480.0,58.2,5.0,8.7,15.0
Cole,Beasley,14141,WR,2015,105.6,6.6,16,0.0,0.0,0.0,0.0,52.0,75.0,536.0,69.3,5.0,7.1,10.3
Kyle,Rudolph,13275,TE,2015,104.0,6.5,16,0.0,0.0,0.0,0.0,49.0,73.0,495.0,67.1,5.0,6.8,10.1
Spencer,Ware,15261,RB,2015,79.8,7.3,11,72.0,403.0,5.6,6.0,6.0,6.0,5.0,100.0,0.0,0.8,0.8
Marques,Colston,5094,WR,2015,98.5,7.6,13,0.0,0.0,0.0,0.0,45.0,67.0,520.0,67.2,4.0,7.8,11.6
Julius,Thomas,13027,TE,2015,98.5,8.2,12,0.0,0.0,0.0,0.0,46.0,80.0,455.0,57.5,5.0,5.7,9.9
Devin,Funchess,16802,WR,2015,90.8,5.7,16,0.0,0.0,0.0,0.0,31.0,63.0,473.0,49.2,5.0,7.5,15.3
Melvin,Gordon,16776,RB,2015,91.8,6.6,14,184.0,641.0,3.5,0.0,33.0,37.0,192.0,89.2,0.0,5.2,5.8
DeSean,Jackson,3943,WR,2015,89.8,9.0,10,0.0,0.0,0.0,0.0,30.0,49.0,528.0,61.2,4.0,10.8,17.6
Jamison,Crowder,16866,WR,2015,104.1,6.5,16,2.0,2.0,1.0,0.0,59.0,78.0,604.0,75.6,2.0,7.7,10.2
Tim,Hightower,2262,RB,2015,80.4,10.0,8,96.0,375.0,3.9,4.0,12.0,13.0,129.0,92.3,0.0,9.9,10.8
Andre,Johnson,2429,WR,2015,94.8,5.9,16,0.0,0.0,0.0,0.0,41.0,77.0,503.0,53.2,4.0,6.5,12.3
Vincent,Jackson,3519,WR,2015,90.8,9.1,10,0.0,0.0,0.0,0.0,33.0,62.0,543.0,53.2,3.0,8.8,16.5
Zach,Miller,12415,TE,2015,90.9,6.1,15,0.0,0.0,0.0,0.0,34.0,46.0,439.0,73.9,5.0,9.5,12.9
Corey,Brown,16553,WR,2015,88.0,5.9,15,6.0,38.0,6.3,0.0,31.0,54.0,447.0,57.4,4.0,8.3,14.4
Jimmy,Graham,11488,TE,2015,96.5,8.8,11,0.0,0.0,0.0,0.0,48.0,74.0,605.0,64.9,2.0,8.2,12.6
Malcom,Floyd,7711,WR,2015,87.1,5.8,15,0.0,0.0,0.0,0.0,30.0,69.0,561.0,43.5,3.0,8.1,18.7
Jacob,Tamme,852,TE,2015,101.2,6.7,15,0.0,0.0,0.0,0.0,59.0,81.0,657.0,72.8,1.0,8.1,11.1
Robert,Woods,14871,WR,2015,94.7,6.8,14,1.0,0.0,0.0,0.0,47.0,80.0,552.0,58.8,3.0,6.9,11.7
Ladarius,Green,14122,TE,2015,89.4,6.9,13,0.0,0.0,0.0,0.0,37.0,63.0,429.0,58.7,4.0,6.8,11.6
DeVante,Parker,16775,WR,2015,84.4,5.6,15,0.0,0.0,0.0,0.0,27.0,51.0,529.0,52.9,3.0,10.4,19.6
Charles,Clay,12751,TE,2015,96.3,7.4,13,0.0,0.0,0.0,0.0,51.0,77.0,528.0,66.2,3.0,6.9,10.4
Carlos,Hyde,16668,RB,2015,75.8,10.8,7,115.0,470.0,4.1,3.0,11.0,15.0,53.0,73.3,0.0,3.5,4.8
Owen,Daniels,1810,TE,2015,92.7,5.8,16,0.0,0.0,0.0,0.0,46.0,77.0,517.0,59.7,3.0,6.7,11.2
Marshawn,Lynch,12386,RB,2015,76.2,10.9,7,111.0,417.0,3.8,3.0,13.0,21.0,80.0,61.9,0.0,3.8,6.2
Coby,Fleener,13997,TE,2015,96.1,6.0,16,0.0,0.0,0.0,0.0,54.0,84.0,491.0,64.3,3.0,5.8,9.1
Jerricho,Cotchery,4104,WR,2015,87.6,6.3,14,1.0,16.0,16.0,0.0,39.0,54.0,485.0,72.2,3.0,9.0,12.4
Cecil,Shorts,13002,WR,2015,88.94,8.1,11,10.0,47.0,4.7,0.0,42.0,75.0,484.0,56.0,2.0,6.5,11.5
Steve,Johnson,2950,WR,2015,90.2,9.0,10,0.0,0.0,0.0,0.0,45.0,65.0,497.0,69.2,3.0,7.6,11.0
Heath,Miller,7635,TE,2015,97.7,6.5,15,1.0,2.0,2.0,0.0,60.0,81.0,535.0,74.1,2.0,6.6,8.9
Crockett,Gillmore,16083,TE,2015,81.7,8.2,10,0.0,0.0,0.0,0.0,33.0,47.0,412.0,70.2,4.0,8.8,12.5
Dwayne,Harris,13117,WR,2015,82.8,5.5,15,2.0,12.0,6.0,0.0,36.0,57.0,396.0,63.2,4.0,6.9,11.0
Dontrelle,Inman,16728,WR,2015,82.1,5.9,14,0.0,0.0,0.0,0.0,35.0,63.0,486.0,55.6,3.0,7.7,13.9
Brian,Hartline,8330,WR,2015,87.3,7.3,12,0.0,0.0,0.0,0.0,46.0,77.0,523.0,59.7,2.0,6.8,11.4
Joseph,Randle,15085,RB,2015,69.1,11.5,6,76.0,315.0,4.1,4.0,10.0,10.0,86.0,100.0,0.0,8.6,8.6
Jerick,McKinnon,16510,RB,2015,72.9,4.6,16,52.0,271.0,5.2,2.0,21.0,29.0,173.0,72.4,1.0,6.0,8.2
Will,Tye,17754,TE,2015,83.4,6.4,13,0.0,0.0,0.0,0.0,42.0,62.0,464.0,67.7,3.0,7.5,11.0
Kenny,Stills,15196,WR,2015,75.5,4.7,16,0.0,0.0,0.0,0.0,27.0,63.0,440.0,42.9,3.0,7.0,16.3
Martellus,Bennett,1181,TE,2015,88.4,8.0,11,0.0,0.0,0.0,0.0,53.0,80.0,439.0,66.2,3.0,5.5,8.3
Dexter,McCluster,11220,RB,2015,76.2,6.4,12,55.0,247.0,4.5,1.0,31.0,41.0,260.0,75.6,1.0,6.3,8.4
Kendall,Wright,13957,WR,2015,78.5,7.8,10,5.0,17.0,3.4,0.0,36.0,60.0,408.0,60.0,3.0,6.8,11.3
Mike,Wallace,8529,WR,2015,79.4,5.0,16,1.0,6.0,6.0,0.0,39.0,72.0,473.0,54.2,2.0,6.6,12.1
Andre,Ellington,15224,RB,2015,67.2,6.7,10,45.0,289.0,6.4,3.0,15.0,24.0,148.0,62.5,0.0,6.2,9.9
Albert,Wilson,16308,WR,2015,77.2,5.5,14,5.0,26.0,5.2,0.0,35.0,57.0,451.0,61.4,2.0,7.9,12.9
Jonathan,Grimes,14719,RB,2015,72.5,5.2,14,56.0,282.0,5.0,1.0,26.0,31.0,173.0,83.9,1.0,5.6,6.7
Mohamed,Sanu,13878,WR,2015,75.0,4.7,16,10.0,71.0,7.1,2.0,33.0,49.0,394.0,67.3,0.0,8.0,11.9
Dez,Bryant,11270,WR,2015,73.6,8.2,9,0.0,0.0,0.0,0.0,31.0,72.0,401.0,43.1,3.0,5.6,12.9
Austin,SeferianJenkins,16608,TE,2015,68.3,9.8,7,0.0,0.0,0.0,0.0,21.0,39.0,338.0,53.8,4.0,8.7,16.1
Brent,Celek,5511,TE,2015,71.3,4.5,16,0.0,0.0,0.0,0.0,27.0,35.0,398.0,77.1,3.0,11.4,14.7
Chris,Thompson,15102,RB,2015,75.1,5.8,13,35.0,216.0,6.2,0.0,35.0,48.0,240.0,72.9,2.0,5.0,6.9
Chris,Hogan,14828,WR,2015,75.56,4.7,16,1.0,4.0,4.0,0.0,36.0,59.0,450.0,61.0,2.0,7.6,12.5
Brandon,Coleman,16567,WR,2015,72.4,4.5,16,0.0,0.0,0.0,0.0,30.0,49.0,454.0,61.2,2.0,9.3,15.1
Roddy,White,204,WR,2015,78.1,4.9,16,0.0,0.0,0.0,0.0,43.0,70.0,506.0,61.4,1.0,7.2,11.8
Jordan,Cameron,12861,TE,2015,74.1,4.6,16,0.0,0.0,0.0,0.0,35.0,70.0,386.0,50.0,3.0,5.5,11.0
Chris,Polk,13735,RB,2015,64.3,4.3,15,99.0,334.0,3.4,1.0,16.0,28.0,109.0,57.1,1.0,3.9,6.8
Davante,Adams,16470,WR,2015,81.3,6.3,13,0.0,0.0,0.0,0.0,50.0,94.0,483.0,53.2,1.0,5.1,9.7
Lance,Moore,6768,WR,2015,70.2,5.0,14,0.0,0.0,0.0,0.0,29.0,43.0,337.0,67.4,4.0,7.8,11.6
Arian,Foster,11792,RB,2015,66.0,16.5,4,63.0,163.0,2.6,1.0,22.0,28.0,227.0,78.6,2.0,8.1,10.3
Khiry,Robinson,15645,RB,2015,62.0,7.8,8,56.0,180.0,3.2,4.0,17.0,20.0,115.0,85.0,0.0,5.8,6.8
Marquess,Wilson,15118,WR,2015,66.4,6.0,11,0.0,0.0,0.0,0.0,28.0,51.0,464.0,54.9,1.0,9.1,16.6
Brandon,LaFell,11463,WR,2015,70.9,6.4,11,2.0,9.0,4.5,0.0,37.0,74.0,515.0,50.0,0.0,7.0,13.9
Clive,Walford,16829,TE,2015,64.9,4.1,16,0.0,0.0,0.0,0.0,28.0,50.0,329.0,56.0,3.0,6.6,11.8
Shaun,Draughn,13158,RB,2015,64.4,5.9,11,78.0,273.0,3.5,1.0,27.0,35.0,176.0,77.1,0.0,5.0,6.5
Leonard,Hankerson,13162,WR,2015,63.7,6.4,10,0.0,0.0,0.0,0.0,26.0,46.0,327.0,56.5,3.0,7.1,12.6
Brandon,Bolden,13741,RB,2015,60.2,4.0,15,63.0,207.0,3.3,0.0,19.0,30.0,180.0,63.3,2.0,6.0,9.5
Vance,McDonald,15239,TE,2015,65.6,4.7,14,0.0,0.0,0.0,0.0,30.0,46.0,326.0,65.2,3.0,7.1,10.9
Harry,Douglas,6211,WR,2015,68.5,4.9,14,1.0,-6.0,-6.0,0.0,36.0,72.0,411.0,50.0,2.0,5.7,11.4
Scott,Chandler,12548,TE,2015,61.4,4.1,15,0.0,0.0,0.0,0.0,23.0,42.0,259.0,54.8,4.0,6.2,11.3
Josh,Huff,15971,WR,2015,62.7,4.2,15,0.0,0.0,0.0,0.0,27.0,40.0,312.0,67.5,3.0,7.8,11.6
Darren,Fells,15247,TE,2015,59.6,4.3,14,0.0,0.0,0.0,0.0,21.0,28.0,311.0,75.0,3.0,11.1,14.8
Jared,Cook,8534,TE,2015,67.6,4.2,16,0.0,0.0,0.0,0.0,39.0,75.0,481.0,52.0,0.0,6.4,12.3
CJ,Spiller,10949,RB,2015,64.1,4.9,13,36.0,112.0,3.1,0.0,34.0,44.0,239.0,77.3,2.0,5.4,7.0
Denard,Robinson,15018,RB,2015,57.5,4.4,13,67.0,266.0,4.0,1.0,21.0,30.0,164.0,70.0,0.0,5.5,7.8
Cameron,Brate,16593,TE,2015,58.3,4.2,14,0.0,0.0,0.0,0.0,23.0,30.0,288.0,76.7,3.0,9.6,12.5
Quinton,Patton,15241,WR,2015,60.9,3.8,16,1.0,5.0,5.0,0.0,30.0,57.0,394.0,52.6,1.0,6.9,13.1
Fred,Jackson,5701,RB,2015,61.7,3.9,16,26.0,100.0,3.8,0.0,32.0,41.0,257.0,78.0,2.0,6.3,8.0
Mike,Gillislee,14872,RB,2015,48.6,9.7,5,47.0,267.0,5.7,3.0,6.0,7.0,29.0,85.7,0.0,4.1,4.8
Jarius,Wright,14465,WR,2015,62.1,3.9,16,1.0,29.0,29.0,0.0,34.0,50.0,442.0,68.0,0.0,8.8,13.0
Riley,Cooper,11313,WR,2015,55.2,3.4,16,0.0,0.0,0.0,0.0,21.0,41.0,327.0,51.2,2.0,8.0,15.6
Andre,Holmes,13264,WR,2015,51.1,3.2,16,0.0,0.0,0.0,0.0,14.0,33.0,201.0,42.4,4.0,6.1,14.4
Darrius,HeywardBey,8771,WR,2015,53.9,3.4,16,0.0,0.0,0.0,0.0,21.0,39.0,314.0,53.8,2.0,8.1,15.0
Bishop,Sankey,16178,RB,2015,50.2,3.9,13,47.0,193.0,4.1,1.0,14.0,22.0,139.0,63.6,1.0,6.3,9.9
