FirstName,LastName,PlayerID,Position,Year,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
Matt,Asiata,13255,RB,2014,172.2,11.5,15,164.0,570.0,3.5,9.0,44.0,63.0,312.0,69.8,1.0,5.0,7.1
Frank,Gore,5820,RB,2014,152.9,9.6,16,255.0,1103.0,4.3,4.0,11.0,19.0,111.0,57.9,1.0,5.8,10.1
Mike,Wallace,8529,WR,2014,179.3,11.2,16,4.0,16.0,4.0,0.0,67.0,115.0,862.0,58.3,10.0,7.5,12.9
Giovani,Bernard,14916,RB,2014,166.4,12.8,13,168.0,680.0,4.0,5.0,43.0,59.0,349.0,72.9,2.0,5.9,8.1
Jimmy,Graham,11488,TE,2014,187.4,11.7,16,0.0,0.0,0.0,0.0,85.0,125.0,889.0,68.0,10.0,7.1,10.5
Torrey,Smith,12830,WR,2014,167.2,10.4,16,0.0,0.0,0.0,0.0,49.0,92.0,767.0,53.3,11.0,8.3,15.7
Steve,Smith,4358,WR,2014,180.0,11.2,16,0.0,0.0,0.0,0.0,79.0,134.0,1065.0,59.0,6.0,7.9,13.5
Greg,Olsen,1658,TE,2014,178.8,11.2,16,0.0,0.0,0.0,0.0,84.0,123.0,1008.0,68.3,6.0,8.2,12.0
Brandon,LaFell,11463,WR,2014,173.6,10.8,16,2.0,13.0,6.5,0.0,74.0,119.0,953.0,62.2,7.0,8.0,12.9
Anquan,Boldin,11712,WR,2014,178.1,11.1,16,1.0,4.0,4.0,0.0,83.0,131.0,1062.0,63.4,5.0,8.1,12.8
AJ,Green,12845,WR,2014,170.8,13.1,13,2.0,2.0,1.0,0.0,69.0,116.0,1041.0,59.5,6.0,9.0,15.1
Jordan,Matthews,15974,TE,2014,168.7,10.5,16,0.0,0.0,0.0,0.0,67.0,103.0,872.0,65.0,8.0,8.5,13.0
Chris,Ivory,12239,RB,2014,143.3,9.0,16,198.0,820.0,4.1,6.0,18.0,27.0,123.0,66.7,1.0,4.6,6.8
Sammy,Watkins,16003,WR,2014,165.5,10.3,16,2.0,8.0,4.0,0.0,65.0,128.0,982.0,50.8,6.0,7.7,15.1
Roddy,White,204,WR,2014,172.1,12.3,14,0.0,0.0,0.0,0.0,80.0,124.0,921.0,64.5,7.0,7.4,11.5
Martellus,Bennett,1181,TE,2014,176.6,11.0,16,0.0,0.0,0.0,0.0,90.0,128.0,916.0,70.3,6.0,7.2,10.2
Andre,Ellington,15224,RB,2014,154.5,12.9,12,201.0,660.0,3.3,3.0,46.0,64.0,395.0,71.9,2.0,6.2,8.6
Julian,Edelman,8355,WR,2014,176.6,12.6,14,10.0,94.0,9.4,0.0,92.0,134.0,972.0,68.7,4.0,7.3,10.6
Andre,Williams,16402,RB,2014,136.1,8.5,16,217.0,721.0,3.3,7.0,18.0,37.0,130.0,48.6,0.0,3.5,7.2
Eric,Decker,11182,WR,2014,163.2,10.9,15,0.0,0.0,0.0,0.0,74.0,114.0,962.0,64.9,5.0,8.4,13.0
Coby,Fleener,13997,TE,2014,150.9,9.4,16,0.0,0.0,0.0,0.0,51.0,92.0,774.0,55.4,8.0,8.4,15.2
Mohamed,Sanu,13878,WR,2014,151.26,9.5,16,7.0,51.0,7.3,0.0,56.0,98.0,790.0,57.1,5.0,8.1,14.1
Fred,Jackson,5701,RB,2014,155.7,11.1,14,142.0,526.0,3.7,2.0,66.0,90.0,501.0,73.3,1.0,5.6,7.6
Malcom,Floyd,7711,WR,2014,147.6,9.2,16,0.0,0.0,0.0,0.0,52.0,92.0,856.0,56.5,6.0,9.3,16.5
Steven,Jackson,1652,RB,2014,131.5,8.8,15,190.0,707.0,3.7,6.0,20.0,27.0,148.0,74.1,0.0,5.5,7.4
Jonathan,Stewart,5451,RB,2014,133.5,10.3,13,175.0,809.0,4.6,3.0,25.0,31.0,181.0,80.6,1.0,5.8,7.2
Julius,Thomas,13027,TE,2014,142.4,11.0,13,0.0,0.0,0.0,0.0,43.0,62.0,489.0,69.4,12.0,7.9,11.4
Tre,Mason,16626,RB,2014,127.3,10.6,12,179.0,765.0,4.3,4.0,16.0,26.0,148.0,61.5,1.0,5.7,9.2
Eddie,Royal,7389,WR,2014,150.2,9.4,16,3.0,14.0,4.7,0.0,62.0,91.0,778.0,68.1,7.0,8.5,12.5
Michael,Floyd,14478,WR,2014,141.8,8.9,16,1.0,2.0,2.0,0.0,47.0,99.0,841.0,47.5,6.0,8.5,17.9
Marques,Colston,5094,WR,2014,147.7,9.2,16,0.0,0.0,0.0,0.0,59.0,99.0,902.0,59.6,5.0,9.1,15.3
Brandon,Marshall,11667,WR,2014,148.6,11.4,13,0.0,0.0,0.0,0.0,61.0,106.0,721.0,57.5,8.0,6.8,11.8
Ahmad,Bradshaw,2220,RB,2014,135.5,13.6,10,90.0,425.0,4.7,2.0,38.0,47.0,300.0,80.9,6.0,6.4,7.9
Travis,Kelce,15048,TE,2014,149.7,9.4,16,0.0,0.0,0.0,1.0,67.0,87.0,862.0,77.0,5.0,9.9,12.9
Shane,Vereen,12780,RB,2014,140.3,8.8,16,96.0,391.0,4.1,2.0,53.0,78.0,447.0,67.9,3.0,5.7,8.4
Isaiah,Crowell,16127,RB,2014,117.9,7.4,16,148.0,607.0,4.1,8.0,9.0,14.0,87.0,64.3,0.0,6.2,9.7
Delanie,Walker,7175,TE,2014,144.5,9.6,15,0.0,0.0,0.0,0.0,63.0,106.0,890.0,59.4,4.0,8.4,14.1
Rueben,Randle,14242,WR,2014,147.3,9.2,16,0.0,0.0,0.0,0.0,71.0,127.0,938.0,55.9,3.0,7.4,13.2
Kenny,Stills,15196,WR,2014,142.4,9.5,15,1.0,-2.0,-2.0,0.0,63.0,83.0,931.0,75.9,3.0,11.2,14.8
Kendall,Wright,13957,WR,2014,139.4,10.0,14,4.0,54.0,13.5,0.0,57.0,93.0,715.0,61.3,6.0,7.7,12.5
Greg,Jennings,6597,WR,2014,139.7,8.7,16,0.0,0.0,0.0,0.0,59.0,91.0,742.0,64.8,6.0,8.2,12.6
Vincent,Jackson,3519,WR,2014,145.2,9.1,16,0.0,0.0,0.0,0.0,70.0,142.0,1002.0,49.3,2.0,7.1,14.3
Terrance,Williams,15088,WR,2014,128.6,8.0,16,0.0,0.0,0.0,0.0,37.0,65.0,621.0,56.9,8.0,9.6,16.8
Branden,Oliver,16345,RB,2014,127.3,9.1,14,160.0,582.0,3.6,3.0,36.0,45.0,271.0,80.0,1.0,6.0,7.5
Rashad,Jennings,8649,RB,2014,123.5,11.2,11,167.0,639.0,3.8,4.0,30.0,41.0,226.0,73.2,0.0,5.5,7.5
Andre,Johnson,2429,WR,2014,148.1,9.9,15,0.0,0.0,0.0,0.0,85.0,146.0,936.0,58.2,3.0,6.4,11.0
Darren,Sproles,6198,RB,2014,125.6,8.4,15,57.0,329.0,5.8,6.0,40.0,62.0,387.0,64.5,0.0,6.2,9.7
Martavis,Bryant,16146,WR,2014,117.1,11.7,10,3.0,12.0,4.0,0.0,26.0,48.0,549.0,54.2,8.0,11.4,21.1
Allen,Hurns,16253,WR,2014,129.2,8.1,16,0.0,0.0,0.0,0.0,51.0,97.0,677.0,52.6,6.0,7.0,13.3
Terrance,West,16142,RB,2014,107.2,7.7,14,171.0,673.0,3.9,4.0,11.0,13.0,64.0,84.6,1.0,4.9,5.8
Doug,Baldwin,13460,WR,2014,134.3,8.4,16,1.0,8.0,8.0,0.0,66.0,98.0,825.0,67.3,3.0,8.4,12.5
James,Jones,6302,WR,2014,137.1,8.6,16,0.0,0.0,0.0,0.0,73.0,111.0,666.0,65.8,6.0,6.0,9.1
Jason,Witten,722,TE,2014,132.3,8.3,16,0.0,0.0,0.0,0.0,64.0,90.0,703.0,71.1,5.0,7.8,11.0
Robert,Woods,14871,WR,2014,132.4,8.3,16,0.0,0.0,0.0,0.0,65.0,104.0,699.0,62.5,5.0,6.7,10.8
John,Brown,16640,WR,2014,123.0,7.7,16,3.0,-6.0,-2.0,0.0,48.0,103.0,696.0,46.6,5.0,6.8,14.5
Knile,Davis,15045,RB,2014,107.0,6.7,16,134.0,463.0,3.5,6.0,16.0,25.0,147.0,64.0,1.0,5.9,9.2
Keenan,Allen,15076,WR,2014,136.8,9.8,14,0.0,0.0,0.0,0.0,77.0,121.0,783.0,63.6,4.0,6.5,10.2
Jarvis,Landry,16020,WR,2014,139.4,8.7,16,2.0,-4.0,-2.0,0.0,84.0,112.0,758.0,75.0,5.0,6.8,9.0
Andrew,Hawkins,12847,WR,2014,127.5,8.5,15,3.0,15.0,5.0,0.0,63.0,112.0,825.0,56.2,2.0,7.4,13.1
Michael,Crabtree,9331,WR,2014,128.2,8.0,16,1.0,4.0,4.0,0.0,68.0,108.0,698.0,63.0,4.0,6.5,10.3
Kenny,Britt,8532,WR,2014,118.2,7.4,16,2.0,14.0,7.0,0.0,48.0,84.0,748.0,57.1,3.0,8.9,15.6
Heath,Miller,7635,TE,2014,127.1,7.9,16,0.0,0.0,0.0,0.0,66.0,91.0,761.0,72.5,3.0,8.4,11.5
Andre,Holmes,13264,WR,2014,116.8,7.3,16,0.0,0.0,0.0,0.0,47.0,99.0,693.0,47.5,4.0,7.0,14.7
Pierre,Garcon,6767,WR,2014,127.2,8.0,16,0.0,0.0,0.0,0.0,68.0,105.0,752.0,64.8,3.0,7.2,11.1
Chris,Johnson,6828,RB,2014,103.4,6.5,16,155.0,663.0,4.3,1.0,24.0,34.0,151.0,70.6,1.0,4.4,6.3
Trent,Richardson,13902,RB,2014,104.3,7.0,15,159.0,519.0,3.3,3.0,27.0,34.0,229.0,79.4,0.0,6.7,8.5
Denard,Robinson,15018,RB,2014,102.1,7.9,13,135.0,582.0,4.3,4.0,23.0,31.0,124.0,74.2,0.0,4.0,5.4
Larry,Donnell,15782,TE,2014,121.8,7.6,16,0.0,0.0,0.0,0.0,63.0,92.0,623.0,68.5,6.0,6.8,9.9
Larry,Fitzgerald,5571,WR,2014,119.9,8.6,14,0.0,0.0,0.0,0.0,63.0,103.0,784.0,61.2,2.0,7.6,12.4
LeGarrette,Blount,12296,RB,2014,93.1,5.8,16,125.0,547.0,4.4,5.0,10.0,12.0,54.0,83.3,0.0,4.5,5.4
Reggie,Wayne,5002,WR,2014,119.9,8.0,15,0.0,0.0,0.0,0.0,64.0,116.0,779.0,55.2,2.0,6.7,12.2
Dwayne,Allen,13987,TE,2014,102.0,7.8,13,0.0,0.0,0.0,0.0,29.0,50.0,395.0,58.0,8.0,7.9,13.6
Brandin,Cooks,16568,WR,2014,112.8,11.3,10,7.0,73.0,10.4,1.0,53.0,69.0,550.0,76.8,3.0,8.0,10.4
Zach,Ertz,14856,TE,2014,115.2,7.2,16,0.0,0.0,0.0,0.0,58.0,89.0,702.0,65.2,3.0,7.9,12.1
Roy,Helu,13163,RB,2014,106.3,7.6,14,40.0,216.0,5.4,1.0,42.0,47.0,477.0,89.4,2.0,10.1,11.4
Darren,McFadden,8066,RB,2014,102.6,6.4,16,155.0,534.0,3.4,2.0,36.0,56.0,212.0,64.3,0.0,3.8,5.9
Alfred,Blue,16189,RB,2014,89.6,5.6,16,169.0,528.0,3.1,2.0,15.0,18.0,113.0,83.3,1.0,6.3,7.5
Jared,Cook,8534,TE,2014,107.4,6.7,16,1.0,0.0,0.0,0.0,52.0,99.0,634.0,52.5,3.0,6.4,12.2
Ronnie,Hillman,14046,RB,2014,91.8,11.5,8,106.0,434.0,4.1,3.0,21.0,34.0,139.0,61.8,1.0,4.1,6.6
Benjamin,Cunningham,15207,RB,2014,102.3,6.4,16,66.0,246.0,3.7,3.0,45.0,53.0,352.0,84.9,1.0,6.6,7.8
Charles,Clay,12751,TE,2014,107.5,7.7,14,0.0,0.0,0.0,0.0,58.0,84.0,605.0,69.0,3.0,7.2,10.4
Percy,Harvin,9079,WR,2014,104.0,8.0,13,33.0,202.0,6.1,1.0,51.0,78.0,483.0,65.4,1.0,6.2,9.5
Markus,Wheaton,14973,WR,2014,104.8,6.6,16,4.0,19.0,4.8,0.0,53.0,86.0,644.0,61.6,2.0,7.5,12.2
Bishop,Sankey,16178,RB,2014,87.2,5.4,16,152.0,569.0,3.7,2.0,18.0,23.0,133.0,78.3,0.0,5.8,7.4
Bobby,Rainey,13852,RB,2014,94.6,6.3,15,94.0,406.0,4.3,1.0,33.0,45.0,315.0,73.3,1.0,7.0,9.5
Pierre,Thomas,957,RB,2014,100.5,9.1,11,45.0,222.0,4.9,2.0,45.0,55.0,378.0,81.8,1.0,6.9,8.4
Jarius,Wright,14465,WR,2014,98.9,6.2,16,5.0,71.0,14.2,0.0,42.0,62.0,588.0,67.7,2.0,9.5,14.0
